strain	date	country	region	clade_membership	author	accession	location	database
ASU102738	2022-12-13	USA	North America	A.D.3.2	Holland,S.C.,Holland,L.A.,Smith,M.F.,Leonard,V.R.,Murugan,V.,Nordstrom,L.,Mulrow,M.,Salgado,R.,White,M.,Lim,E.S.	OR143195		
hRSV-A-G43R16L5	2023-10-25	USA	North America	A.D.3.2	Lauring,A.S.,Papalambros,L.K.	PP270255		
HRSV/A/USA/TX-HOU-215617/2023	2023-11-07	USA	North America	A.D.3.2	Avadhanula,V.,Sahni,L.,Surathu,A.,Cregeen,S.J.,Doddapaneni,H.,Metcalf,G.A.,Tannis,A.,Moline,H.,Boom,J.,Piedra,P.	PP795147		
RSV-A/human/USA/OR-S24495/2023	2023-11-04	USA	North America	A.D.3.2	Frazar,C.D.,Lee,J.,Ryke,E.,Gamboa,L.,McDermot,E.,Kolar,T.,Han,P.D.,Sibley,T.R.,Reinhart,D.,Grindstaff,S.,Truong,M.,Babu,T.M.,Feldstein,L.R.,Saydah,S.,Briggs-Hagen,M.,Casto,A.,Ehmen,B.,Englund,J.A.,Fortmann,S.P.,Kuntz,J.L.,Lockwood,T.,Midgley,C.M.,Mularski,R.A.,Ogilvie,T.,Reich,S.,Schmidt,M.A.,Smith,N.,Starita,L.,Stone,J.,Vandermeer,M.,Weil,A.A.,Wolf,C.R.,Chu,H.Y.,Naleway,A.L.	PP084059	Washington County OR	
RSV-A/human/USA/OR-S24496/2023	2023-11-08	USA	North America	A.D.3.2	Frazar,C.D.,Lee,J.,Ryke,E.,Gamboa,L.,McDermot,E.,Kolar,T.,Han,P.D.,Sibley,T.R.,Reinhart,D.,Grindstaff,S.,Truong,M.,Babu,T.M.,Feldstein,L.R.,Saydah,S.,Briggs-Hagen,M.,Casto,A.,Ehmen,B.,Englund,J.A.,Fortmann,S.P.,Kuntz,J.L.,Lockwood,T.,Midgley,C.M.,Mularski,R.A.,Ogilvie,T.,Reich,S.,Schmidt,M.A.,Smith,N.,Starita,L.,Stone,J.,Vandermeer,M.,Weil,A.A.,Wolf,C.R.,Chu,H.Y.,Naleway,A.L.	PP084060	Washington County OR	
HRSV/A/USA/TX-HOU-215235/2023	2023-10-11	USA	North America	A.D.3.2	Avadhanula,V.,Sahni,L.,Surathu,A.,Cregeen,S.J.,Doddapaneni,H.,Metcalf,G.A.,Tannis,A.,Moline,H.,Boom,J.,Piedra,P.	PP795134		
hRSV/A/Panama/ICGES-373/2024	2024-07-11	Panama	North America	A.D.3.2	Franco,D.,Goya,S.,Martinez,A.,Moreno,B.,Valdespino,E.,Gaitan,M.,Gonzalez,C.,Moreno,A.,Capitan-Barrios,Z.,Carrera,J.P.,Lopez-Verges,S.,Pascale,J.M.,Das,S.R.,Arbiza,J.,Delfraro,A.,Abrego,L.	PQ618050		
hRSV/A/Panama/ICGES-364/2024	2024-06-21	Panama	North America	A.D.3.2	Franco,D.,Goya,S.,Martinez,A.,Moreno,B.,Valdespino,E.,Gaitan,M.,Gonzalez,C.,Moreno,A.,Capitan-Barrios,Z.,Carrera,J.P.,Lopez-Verges,S.,Pascale,J.M.,Das,S.R.,Arbiza,J.,Delfraro,A.,Abrego,L.	PQ618048		
hRSV/A/Panama/ICGES-363/2024	2024-06-21	Panama	North America	A.D.3.2	Franco,D.,Goya,S.,Martinez,A.,Moreno,B.,Valdespino,E.,Gaitan,M.,Gonzalez,C.,Moreno,A.,Capitan-Barrios,Z.,Carrera,J.P.,Lopez-Verges,S.,Pascale,J.M.,Das,S.R.,Arbiza,J.,Delfraro,A.,Abrego,L.	PQ618049		
hRSV/A/Panama/ICGES-374/2024	2024-07-11	Panama	North America	A.D.3.2	Franco,D.,Goya,S.,Martinez,A.,Moreno,B.,Valdespino,E.,Gaitan,M.,Gonzalez,C.,Moreno,A.,Capitan-Barrios,Z.,Carrera,J.P.,Lopez-Verges,S.,Pascale,J.M.,Das,S.R.,Arbiza,J.,Delfraro,A.,Abrego,L.	PQ618047		
hRSV/A/Panama/ICGES-367/2024	2024-06-28	Panama	North America	A.D.3.2	Franco,D.,Goya,S.,Martinez,A.,Moreno,B.,Valdespino,E.,Gaitan,M.,Gonzalez,C.,Moreno,A.,Capitan-Barrios,Z.,Carrera,J.P.,Lopez-Verges,S.,Pascale,J.M.,Das,S.R.,Arbiza,J.,Delfraro,A.,Abrego,L.	PQ618046		
hRSV/A/Panama/ICGES-375/2024	2024-07-11	Panama	North America	A.D.3.2	Franco,D.,Goya,S.,Martinez,A.,Moreno,B.,Valdespino,E.,Gaitan,M.,Gonzalez,C.,Moreno,A.,Capitan-Barrios,Z.,Carrera,J.P.,Lopez-Verges,S.,Pascale,J.M.,Das,S.R.,Arbiza,J.,Delfraro,A.,Abrego,L.	PQ618045		
Kilifi/RSVA/HF20219_2022-07-14	2022-07-14	Kenya	Africa	A.D.3.1	Lambisia,A.W.,Lewa,C.,Mutunga,M.,Okanda,D.,Githinji,G.,Nokes,J.D.,Agoti,C.N.	OR162274		
009-0002	2023-10-08	France	Europe	A.D.3.1	Fourati,S.,Rameix Welti,M.-A.	PQ762676		
011-0020	2023-12-04	France	Europe	A.D.3.1	Fourati,S.,Rameix Welti,M.-A.	PQ762736		
KW/RSVA/52939	2021-09-26	Kuwait	Asia	A.D.3.1	Madi,N.	PP151399		
KW/RSVA/52942	2022-09-16	Kuwait	Asia	A.D.3.1	Madi,N.	PP151402		
RSV-A/human/USA/MA-Broad_MGH-16242/2023	2023-11-20	USA	North America	A.D.3.1	Paull,J.,Messer,K.,Adams,G.,Nabatanzi,D.,Dobbins,S.,Tomkins-Tinch,C.,Mboowa,G.,Luebbert,L.,Worby,C.,Wewior,N.,Samani,P.,DeRuff,K.,Blumenstiel,B.,Moreno,G.,Earl,A.,Gnirke,A.,MacInnis,B.,Sabeti,P.,Lemieux,J.,Park,D.	PV178304		
A18321016	2022-09-22	Ireland	Europe	A.D.3.1	Carr,M.,Dean,J.,Hare,D.,OByrne,E.,De Gascun,C.F.,Rice,A.,Gonzalez,G.	PP969951		
hRSV/A/Germany/22-01193/2021	2021-11-04	Germany	Europe	A.D.3.1	Kondgen,S.,Reiche,J.	OR795445		
PP352367	2022-11-01	USA	North America	A.D.3.1	Rios Guzman,E.,Simons,L.M.,Dean,T.J.,Agnes,F.,Pawlowski,A.,Alisoltanidehkordi,A.,Nam,H.H.,Ison,M.G.,Ozer,E.A.,Lorenzo-Redondo,R.,Hultquist,J.F.	PP352367		
A18321087	2022-11-12	Ireland	Europe	A.D.3.1	Carr,M.,Dean,J.,Hare,D.,OByrne,E.,De Gascun,C.F.,Rice,A.,Gonzalez,G.	PP970007		
RSV-A/human/USA/OR-S24220/2022	2022-11-06	USA	North America	A.D.3.1	Frazar,C.D.,Lee,J.,Ryke,E.,Gamboa,L.,McDermot,E.,Kolar,T.,Han,P.D.,Sibley,T.R.,Reinhart,D.,Grindstaff,S.,Truong,M.,Babu,T.M.,Feldstein,L.R.,Saydah,S.,Briggs-Hagen,M.,Casto,A.,Ehmen,B.,Englund,J.A.,Fortmann,S.P.,Kuntz,J.L.,Lockwood,T.,Midgley,C.M.,Mularski,R.A.,Ogilvie,T.,Reich,S.,Schmidt,M.A.,Smith,N.,Starita,L.,Stone,J.,Vandermeer,M.,Weil,A.A.,Wolf,C.R.,Chu,H.Y.,Naleway,A.L.	OR975298	Multnomah County OR	
RSV-A/human/USA/OR-S23757/2022	2022-11-06	USA	North America	A.D.3.1	Frazar,C.D.,Lee,J.,Ryke,E.,Gamboa,L.,McDermot,E.,Kolar,T.,Han,P.D.,Sibley,T.R.,Reinhart,D.,Grindstaff,S.,Truong,M.,Babu,T.M.,Feldstein,L.R.,Saydah,S.,Briggs-Hagen,M.,Casto,A.,Ehmen,B.,Englund,J.A.,Fortmann,S.P.,Kuntz,J.L.,Lockwood,T.,Midgley,C.M.,Mularski,R.A.,Ogilvie,T.,Reich,S.,Schmidt,M.A.,Smith,N.,Starita,L.,Stone,J.,Vandermeer,M.,Weil,A.A.,Wolf,C.R.,Chu,H.Y.,Naleway,A.L.	OR522470	Multnomah County OR	
NIN-491	2022-09-11	United Kingdom	Europe	A.D.3.1	Maloney,D.M.,Fernandes,G.,Jasim,S.,Dewar,R.,Templeton,K.E.	PQ348870		
NIN-503	2022-09-19	United Kingdom	Europe	A.D.3.1	Maloney,D.M.,Fernandes,G.,Jasim,S.,Dewar,R.,Templeton,K.E.	PQ348871		
RSVLO503	2021-09-28	United Kingdom	Europe	A.D.3.1	Maloney,D.M.,Fernandes,G.,Jasim,S.,Dewar,R.,Templeton,K.E.	PQ348816		
RSVLO413	2021-09-05	United Kingdom	Europe	A.D.3.1	Maloney,D.M.,Fernandes,G.,Jasim,S.,Dewar,R.,Templeton,K.E.	PQ348803		
RSVLO391	2021-08-04	United Kingdom	Europe	A.D.3.1	Maloney,D.M.,Fernandes,G.,Jasim,S.,Dewar,R.,Templeton,K.E.	PQ348796		
RSVLO393	2021-08-05	United Kingdom	Europe	A.D.3.1	Maloney,D.M.,Fernandes,G.,Jasim,S.,Dewar,R.,Templeton,K.E.	PQ348988		
RSVLO473	2021-09-23	United Kingdom	Europe	A.D.3.1	Maloney,D.M.,Fernandes,G.,Jasim,S.,Dewar,R.,Templeton,K.E.	PQ348994		
RSVLO465	2021-09-22	United Kingdom	Europe	A.D.3.1	Maloney,D.M.,Fernandes,G.,Jasim,S.,Dewar,R.,Templeton,K.E.	PQ348812		
RSVLO466	2021-09-22	United Kingdom	Europe	A.D.3.1	Maloney,D.M.,Fernandes,G.,Jasim,S.,Dewar,R.,Templeton,K.E.	PQ348813		
ASU102776	2022-12-17	USA	North America	A.D.3.1	Holland,S.C.,Holland,L.A.,Smith,M.F.,Leonard,V.R.,Murugan,V.,Nordstrom,L.,Mulrow,M.,Salgado,R.,White,M.,Lim,E.S.	OR143218		
MN-MDH-RSVA-00991	2024-03-13	USA	North America	A.D.3.1	Kunerth,H.,Plumb,M.,Namugenyi,S.,Evans,D.,Bohnkers-Voels,L.,Wang,X.	PQ762495		
hRSV-A-W13K24M2	2022-09-26	USA	North America	A.D.3.1	Gilbert,J.,Lauring,A.S.,Papalambros,L.K.	OR872581		
hRSV/A/Germany/22-00730/2021	2021-10-24	Germany	Europe	A.D.3.1	Kondgen,S.,Reiche,J.	OR795434		
hRSV/A/Germany/22-02019/2021	2021-11-25	Germany	Europe	A.D.3.1	Kondgen,S.,Reiche,J.	OR795460		
hRSV-A-W13J93V3	2022-08-01	USA	North America	A.D.3.1	Gilbert,J.,Lauring,A.S.,Papalambros,L.K.	OR872604		
RSVLO1253	2022-12-14	United Kingdom	Europe	A.D.3.1	Maloney,D.M.,Fernandes,G.,Jasim,S.,Dewar,R.,Templeton,K.E.	PQ348889		
NIN-516	2022-09-28	United Kingdom	Europe	A.D.3.1	Maloney,D.M.,Fernandes,G.,Jasim,S.,Dewar,R.,Templeton,K.E.	PQ348874		
RSVLO1259	2022-12-20	United Kingdom	Europe	A.D.3.1	Maloney,D.M.,Fernandes,G.,Jasim,S.,Dewar,R.,Templeton,K.E.	PQ348890		
RSVLO424	2021-09-09	United Kingdom	Europe	A.D.3.1	Maloney,D.M.,Fernandes,G.,Jasim,S.,Dewar,R.,Templeton,K.E.	PQ348777		
RSVLO468	2021-09-22	United Kingdom	Europe	A.D.3.1	Maloney,D.M.,Fernandes,G.,Jasim,S.,Dewar,R.,Templeton,K.E.	PQ348814		
A18321092	2022-12-13	Ireland	Europe	A.D.3.1	Carr,M.,Dean,J.,Hare,D.,OByrne,E.,De Gascun,C.F.,Rice,A.,Gonzalez,G.	PP970012		
RSVLO1097	2022-12-28	United Kingdom	Europe	A.D.3.1	Maloney,D.M.,Fernandes,G.,Jasim,S.,Dewar,R.,Templeton,K.E.	PQ348888		
RSVLO542	2021-10-19	United Kingdom	Europe	A.D.3.1	Maloney,D.M.,Fernandes,G.,Jasim,S.,Dewar,R.,Templeton,K.E.	PQ348824		
A18321018	2022-09-26	Ireland	Europe	A.D.3.1	Carr,M.,Dean,J.,Hare,D.,OByrne,E.,De Gascun,C.F.,Rice,A.,Gonzalez,G.	PP969953		
A19160787	2023-11-17	Ireland	Europe	A.D.3.1	Carr,M.,Dean,J.,Hare,D.,OByrne,E.,De Gascun,C.F.,Rice,A.,Gonzalez,G.	PP970045		
RSV - A/B_1jykmk	2024-02-15	Switzerland	Europe	A.D.3.1		m2-hHKDyB	BS	ReVSeq
RSV - A/B_4i90gd	2024-04-10	Switzerland	Europe	A.D.3.1		m2-Kr6366	SG	ReVSeq
RSV - A/B_437si4	2024-04-10	Switzerland	Europe	A.D.3.1		m2-qFQ9kJ	SG	ReVSeq
RSV - A/B_5g89eb	2023-12-07	Switzerland	Europe	A.D.3.1		m2-3eGjGj	AG	ReVSeq
PP760393	2022-10-31	USA	North America	A.D.3.1	Sereewit,J.,Nunley,B.E.,Roychoudhury,P.,Greninger,A.L.	PP760393		
RSV-A/human/USA/OR-S25510/2023	2023-12-21	USA	North America	A.D.3.1	Frazar,C.D.,Lee,J.,Ryke,E.,Gamboa,L.,Stone,J.,McDermot,E.,Kolar,T.,Han,P.D.,Sibley,T.R.,Reinhart,D.,Grindstaff,S.,Truong,M.,Babu,T.M.,Feldstein,L.R.,Saydah,S.,Briggs-Hagen,M.,Casto,A.,Ehmen,B.,Englund,J.A.,Fortmann,S.P.,Kuntz,J.L.,Lockwood,T.,Midgley,C.M.,Mularski,R.A.,Ogilvie,T.,Opsahl,J.,Reich,S.,Rodriguez-Salas,L.,Schmidt,M.A.,Smith,N.,Starita,L.,Vandermeer,M.,Weil,A.A.,Wolf,C.R.,Chu,H.Y.,Naleway,A.L.	PQ008880	Multnomah County OR	
RSV-A/human/USA/WA-S24914/2024	2024-01-18	USA	North America	A.D.3.1	Frazar,C.D.,Lee,J.,Ryke,E.,Gamboa,L.,McDermot,E.,Kolar,T.,Han,P.D.,Sibley,T.R.,Reinhart,D.,Grindstaff,S.,Truong,M.,Babu,T.M.,Feldstein,L.R.,Saydah,S.,Briggs-Hagen,M.,Casto,A.,Ehmen,B.,Englund,J.A.,Fortmann,S.P.,Kuntz,J.L.,Lockwood,T.,Midgley,C.M.,Mularski,R.A.,Ogilvie,T.,Opsahl,J.,Reich,S.,Rodriguez-Salas,L.,Schmidt,M.A.,Smith,N.,Starita,L.,Stone,J.,Vandermeer,M.,Weil,A.A.,Wolf,C.R.,Chu,H.Y.,Naleway,A.L.	PP495852	King County WA	
028-0006	2023-12-17	France	Europe	A.D.3.1	Fourati,S.,Rameix Welti,M.-A.	PQ762871		
028-0003	2023-12-02	France	Europe	A.D.3.1	Fourati,S.,Rameix Welti,M.-A.	PQ762868		
