strain	date	country	region	clade_membership	author	accession	location	database
RSVA/human/USA/NY-USAFSAM-R00015/2022	2022-12-05	USA	North America	A.D.5.3	Fries,A.,Padraic,F.,Jennifer,M.,Kelsey,L.,William,G.,Deanna,M.,Sarah,P.,Elizabeth,M.	PP681245		
hRSV-A-HS9932	2021-10-04	USA	North America	A.D.5.3	Lauring,A.S.,Papalambros,L.K.	OR915769		
hRSV-A-HS9760	2021-09-27	USA	North America	A.D.5.3	Lauring,A.S.,Papalambros,L.K.	OR915765		
hRSV-A-HS9427	2021-08-24	USA	North America	A.D.5.3	Lauring,A.S.,Papalambros,L.K.	OR915774		
MN-MDH-RSVA-00267	2023-11-23	USA	North America	A.D.5.3	Kunerth,H.D.,Plumb,M.,Namugenyi,S.,Evans,D.,Wang,X.	PP594810		
hRSV-A-G43Q44L6	2023-03-19	USA	North America	A.D.5.3	Lauring,A.S.,Papalambros,L.K.,Fitzsimmons,W.J.,Gilbert,J.	OR883003		
hRSV-A-W13K34U4	2022-10-25	USA	North America	A.D.5.3	Gilbert,J.,Lauring,A.S.,Papalambros,L.K.	OR872615		
RSV-A/human/USA/MA-Broad_BWH-19954/2023	2023-09-21	USA	North America	A.D.5.3	Paull,J.,Messer,K.,Adams,G.,Nabatanzi,D.,Dobbins,S.,Tomkins-Tinch,C.,Mboowa,G.,Luebbert,L.,Worby,C.,Wewior,N.,Samani,P.,DeRuff,K.,Blumenstiel,B.,Moreno,G.,Earl,A.,Gnirke,A.,MacInnis,B.,Sabeti,P.,Lemieux,J.,Park,D.	PV178360		
RSVLO791	2022-12-31	United Kingdom	Europe	A.D.5.3	Maloney,D.M.,Fernandes,G.,Jasim,S.,Dewar,R.,Templeton,K.E.	PQ348966		
RSVLO769	2022-08-09	United Kingdom	Europe	A.D.5.3	Maloney,D.M.,Fernandes,G.,Jasim,S.,Dewar,R.,Templeton,K.E.	PQ348964		
NIN-475	2022-08-31	United Kingdom	Europe	A.D.5.3	Maloney,D.M.,Fernandes,G.,Jasim,S.,Dewar,R.,Templeton,K.E.	PQ348863		
NIN-529	2022-10-09	United Kingdom	Europe	A.D.5.3	Maloney,D.M.,Fernandes,G.,Jasim,S.,Dewar,R.,Templeton,K.E.	PQ348878		
NIN-542	2022-10-21	United Kingdom	Europe	A.D.5.3	Maloney,D.M.,Fernandes,G.,Jasim,S.,Dewar,R.,Templeton,K.E.	PQ348885		
NIN-486	2022-08-30	United Kingdom	Europe	A.D.5.3	Maloney,D.M.,Fernandes,G.,Jasim,S.,Dewar,R.,Templeton,K.E.	PQ348866		
NIN-509	2022-09-22	United Kingdom	Europe	A.D.5.3	Maloney,D.M.,Fernandes,G.,Jasim,S.,Dewar,R.,Templeton,K.E.	PQ348873		
hRSV-A-G43R29D0	2023-11-07	USA	North America	A.D.5.3	Lauring,A.S.,Papalambros,L.K.	PP270238		
031-0037	2024-01-08	France	Europe	A.D.5.3	Fourati,S.,Rameix Welti,M.-A.	PQ762903		
020-0003	2023-11-25	France	Europe	A.D.5.3	Fourati,S.,Rameix Welti,M.-A.	PQ762818		
007-0002_3xgziy	2023-10-30	France	Europe	A.D.5.3	Fourati,S.,Rameix Welti,M.-A.	PQ737354		
006-0029	2023-10-30	France	Europe	A.D.5.3	Fourati,S.,Rameix Welti,M.-A.	PQ762631		
RSV-A/human/USA/OR-S25505/2024	2024-02-25	USA	North America	A.D.5.3	Frazar,C.D.,Lee,J.,Ryke,E.,Gamboa,L.,Stone,J.,McDermot,E.,Kolar,T.,Han,P.D.,Sibley,T.R.,Reinhart,D.,Grindstaff,S.,Truong,M.,Babu,T.M.,Feldstein,L.R.,Saydah,S.,Briggs-Hagen,M.,Casto,A.,Ehmen,B.,Englund,J.A.,Fortmann,S.P.,Kuntz,J.L.,Lockwood,T.,Midgley,C.M.,Mularski,R.A.,Ogilvie,T.,Opsahl,J.,Reich,S.,Rodriguez-Salas,L.,Schmidt,M.A.,Smith,N.,Starita,L.,Vandermeer,M.,Weil,A.A.,Wolf,C.R.,Chu,H.Y.,Naleway,A.L.	PQ008875	Multnomah County OR	
RSV-A/human/USA/OR-S25503/2024	2024-03-03	USA	North America	A.D.5.3	Frazar,C.D.,Lee,J.,Ryke,E.,Gamboa,L.,Stone,J.,McDermot,E.,Kolar,T.,Han,P.D.,Sibley,T.R.,Reinhart,D.,Grindstaff,S.,Truong,M.,Babu,T.M.,Feldstein,L.R.,Saydah,S.,Briggs-Hagen,M.,Casto,A.,Ehmen,B.,Englund,J.A.,Fortmann,S.P.,Kuntz,J.L.,Lockwood,T.,Midgley,C.M.,Mularski,R.A.,Ogilvie,T.,Opsahl,J.,Reich,S.,Rodriguez-Salas,L.,Schmidt,M.A.,Smith,N.,Starita,L.,Vandermeer,M.,Weil,A.A.,Wolf,C.R.,Chu,H.Y.,Naleway,A.L.	PQ008873	Multnomah County OR	
RSV-A/human/USA/OR-S24030/2023	2023-08-15	USA	North America	A.D.5.3	Frazar,C.D.,Lee,J.,Ryke,E.,Gamboa,L.,McDermot,E.,Kolar,T.,Han,P.D.,Sibley,T.R.,Reinhart,D.,Grindstaff,S.,Truong,M.,Babu,T.M.,Feldstein,L.R.,Saydah,S.,Briggs-Hagen,M.,Casto,A.,Ehmen,B.,Englund,J.A.,Fortmann,S.P.,Kuntz,J.L.,Lockwood,T.,Midgley,C.M.,Mularski,R.A.,Ogilvie,T.,Reich,S.,Schmidt,M.A.,Smith,N.,Starita,L.,Stone,J.,Vandermeer,M.,Weil,A.A.,Wolf,C.R.,Chu,H.Y.,Naleway,A.L.	OR601480	Multnomah County OR	
MN-MDH-RSVA-00259	2023-11-25	USA	North America	A.D.5.3	Kunerth,H.D.,Plumb,M.,Namugenyi,S.,Evans,D.,Wang,X.	PP594805		
RSV-A/human/USA/WA-S26024/2023	2023-11-11	USA	North America	A.D.5.3	Frazar,C.D.,Lee,J.,Ryke,E.,Gamboa,L.,Opsahl,J.,Rodriguez-Salas,L.,McDermot,E.,Stone,J.,Kolar,T.,Han,P.D.,Sibley,T.R.,Truong,M.,Reinhart,D.,Grindstaff,S.,Wolf,C.R.,Boeckh,M.,Englund,J.A.,Lutz,B.R.,Waghmare,A.,Viboud,C.,Starita,L.M.,Shendure,J.,Bedford,T.,Chu,H.Y.	PQ638789		
RSV-A/human/USA/WA-S24677/2023	2023-11-28	USA	North America	A.D.5.3	Frazar,C.D.,Lee,J.,Ryke,E.,Gamboa,L.,McDermot,E.,Kolar,T.,Han,P.D.,Sibley,T.R.,Reinhart,D.,Grindstaff,S.,Truong,M.,Babu,T.M.,Feldstein,L.R.,Saydah,S.,Briggs-Hagen,M.,Casto,A.,Ehmen,B.,Englund,J.A.,Fortmann,S.P.,Kuntz,J.L.,Lockwood,T.,Midgley,C.M.,Mularski,R.A.,Ogilvie,T.,Opsahl,J.,Reich,S.,Rodriguez-Salas,L.,Schmidt,M.A.,Smith,N.,Starita,L.,Stone,J.,Vandermeer,M.,Weil,A.A.,Wolf,C.R.,Chu,H.Y.,Naleway,A.L.	PP342417	Snohomish County	
hRSV/A/Austria/MUW1456788/2021	2021-10-11	Austria	Europe	A.D.5	Redlberger-Fritz,M.,Springer,D.N.,Aberle,S.W.,Camp,J.V.,Aberle,J.H.	OQ261750		
hRSV/A/Germany/22-00458/2021	2021-10-13	Germany	Europe	A.D.5	Kondgen,S.,Reiche,J.	OR795428		
hRSV/A/Germany/22-01153/2021	2021-10-28	Germany	Europe	A.D.5	Kondgen,S.,Reiche,J.	OR795443		
hRSV/A/Germany/22-01154/2021	2021-10-28	Germany	Europe	A.D.5	Kondgen,S.,Reiche,J.	OR795444		
hRSV/A/Germany/22-00983/2021	2021-10-27	Germany	Europe	A.D.5	Kondgen,S.,Reiche,J.	OR795442		
hRSV/A/Germany/22-00553/2021	2021-10-15	Germany	Europe	A.D.5	Kondgen,S.,Reiche,J.	OR795429		
Kilifi/RSVA/HF20162_2022-02-13	2022-02-13	Kenya	Africa	A.D.5	Lambisia,A.W.,Lewa,C.,Mutunga,M.,Okanda,D.,Githinji,G.,Nokes,J.D.,Agoti,C.N.	OR162217		
Kilifi/RSVA/HF20189_2022-03-09	2022-03-09	Kenya	Africa	A.D.5	Lambisia,A.W.,Lewa,C.,Mutunga,M.,Okanda,D.,Githinji,G.,Nokes,J.D.,Agoti,C.N.	OR162244		
Kilifi/RSVA/HF20185_2022-03-06	2022-03-06	Kenya	Africa	A.D.5	Lambisia,A.W.,Lewa,C.,Mutunga,M.,Okanda,D.,Githinji,G.,Nokes,J.D.,Agoti,C.N.	OR162240		
Kilifi/RSVA/HF20171_2022-02-21	2022-02-21	Kenya	Africa	A.D.5	Lambisia,A.W.,Lewa,C.,Mutunga,M.,Okanda,D.,Githinji,G.,Nokes,J.D.,Agoti,C.N.	OR162226		
Kilifi/RSVA/HF20218_2022-07-06	2022-07-06	Kenya	Africa	A.D.5	Lambisia,A.W.,Lewa,C.,Mutunga,M.,Okanda,D.,Githinji,G.,Nokes,J.D.,Agoti,C.N.	OR162273		
Kilifi/RSVA/HF20028_31/01/2022	2022-01-31	Kenya	Africa	A.D.5	Lambisia,A.W.,Makori,T.O.,Mutunga,M.,Lewa,C.,Githinji,G.,Agoti,C.N.,Nokes,J.D.	OP744457		
Kilifi/RSVA/HF20186_2022-03-07	2022-03-07	Kenya	Africa	A.D.5	Lambisia,A.W.,Lewa,C.,Mutunga,M.,Okanda,D.,Githinji,G.,Nokes,J.D.,Agoti,C.N.	OR162241		
Kilifi/RSVA/HF20181_2022-03-01	2022-03-01	Kenya	Africa	A.D.5	Lambisia,A.W.,Lewa,C.,Mutunga,M.,Okanda,D.,Githinji,G.,Nokes,J.D.,Agoti,C.N.	OR162236		
Kilifi/RSVA/HF20188_2022-03-09	2022-03-09	Kenya	Africa	A.D.5	Lambisia,A.W.,Lewa,C.,Mutunga,M.,Okanda,D.,Githinji,G.,Nokes,J.D.,Agoti,C.N.	OR162243		
Kilifi/RSVA/HF20158_2022-01-27	2022-01-27	Kenya	Africa	A.D.5	Lambisia,A.W.,Lewa,C.,Mutunga,M.,Okanda,D.,Githinji,G.,Nokes,J.D.,Agoti,C.N.	OR162213		
Kilifi/RSVA/HF20193_2022-03-10	2022-03-10	Kenya	Africa	A.D.5	Lambisia,A.W.,Lewa,C.,Mutunga,M.,Okanda,D.,Githinji,G.,Nokes,J.D.,Agoti,C.N.	OR162248		
Kilifi/RSVA/HF20209_2022-05-03	2022-05-03	Kenya	Africa	A.D.5	Lambisia,A.W.,Lewa,C.,Mutunga,M.,Okanda,D.,Githinji,G.,Nokes,J.D.,Agoti,C.N.	OR162264		
Kilifi/RSVA/HF20015_23/03/2021	2021-03-23	Kenya	Africa	A.D.5	Lambisia,A.W.,Makori,T.O.,Mutunga,M.,Lewa,C.,Githinji,G.,Agoti,C.N.,Nokes,J.D.	OP744444		
Kilifi/RSVA/HF20146_2021-03-23	2021-03-23	Kenya	Africa	A.D.5	Lambisia,A.W.,Lewa,C.,Mutunga,M.,Okanda,D.,Githinji,G.,Nokes,J.D.,Agoti,C.N.	OR162201		
Kilifi/RSVA/HF20005_14/03/2021	2021-03-14	Kenya	Africa	A.D.5	Lambisia,A.W.,Makori,T.O.,Mutunga,M.,Lewa,C.,Githinji,G.,Agoti,C.N.,Nokes,J.D.	OP744436		
Kilifi/RSVA/HF20004_13/03/2021	2021-03-13	Kenya	Africa	A.D.5	Lambisia,A.W.,Makori,T.O.,Mutunga,M.,Lewa,C.,Githinji,G.,Agoti,C.N.,Nokes,J.D.	OP744435		
Kilifi/RSVA/HF20017_25/03/2022	2022-03-25	Kenya	Africa	A.D.5	Lambisia,A.W.,Makori,T.O.,Mutunga,M.,Lewa,C.,Githinji,G.,Agoti,C.N.,Nokes,J.D.	OP744446		
Kilifi/RSVA/HF20148_2021-03-26	2021-03-26	Kenya	Africa	A.D.5	Lambisia,A.W.,Lewa,C.,Mutunga,M.,Okanda,D.,Githinji,G.,Nokes,J.D.,Agoti,C.N.	OR162203		
Kilifi/RSVA/HF20009_20/03/2021	2021-03-20	Kenya	Africa	A.D.5	Lambisia,A.W.,Makori,T.O.,Mutunga,M.,Lewa,C.,Githinji,G.,Agoti,C.N.,Nokes,J.D.	OP744440		
Kilifi/RSVA/HF20019_29/03/2021	2021-03-29	Kenya	Africa	A.D.5	Lambisia,A.W.,Makori,T.O.,Mutunga,M.,Lewa,C.,Githinji,G.,Agoti,C.N.,Nokes,J.D.	OP744448		
Kilifi/RSVA/HF20149_2021-03-29	2021-03-29	Kenya	Africa	A.D.5	Lambisia,A.W.,Lewa,C.,Mutunga,M.,Okanda,D.,Githinji,G.,Nokes,J.D.,Agoti,C.N.	OR162204		
Kilifi/RSVA/HF20006_15/03/2021	2021-03-15	Kenya	Africa	A.D.5	Lambisia,A.W.,Makori,T.O.,Mutunga,M.,Lewa,C.,Githinji,G.,Agoti,C.N.,Nokes,J.D.	OP744437		
Kilifi/RSVA/HF20021_01/04/2021	2021-04-01	Kenya	Africa	A.D.5	Lambisia,A.W.,Makori,T.O.,Mutunga,M.,Lewa,C.,Githinji,G.,Agoti,C.N.,Nokes,J.D.	OP744450		
Kilifi/RSVA/HF20025_05/06/2021	2021-06-05	Kenya	Africa	A.D.5	Lambisia,A.W.,Makori,T.O.,Mutunga,M.,Lewa,C.,Githinji,G.,Agoti,C.N.,Nokes,J.D.	OP744454		
Kilifi/RSVA/HF20022_01/04/2021	2021-04-01	Kenya	Africa	A.D.5	Lambisia,A.W.,Makori,T.O.,Mutunga,M.,Lewa,C.,Githinji,G.,Agoti,C.N.,Nokes,J.D.	OP744451		
Kilifi/RSVA/HF20152_2021-04-01	2021-04-01	Kenya	Africa	A.D.5	Lambisia,A.W.,Lewa,C.,Mutunga,M.,Okanda,D.,Githinji,G.,Nokes,J.D.,Agoti,C.N.	OR162207		
Kilifi/RSVA/HF20018_26/03/2021	2021-03-26	Kenya	Africa	A.D.5	Lambisia,A.W.,Makori,T.O.,Mutunga,M.,Lewa,C.,Githinji,G.,Agoti,C.N.,Nokes,J.D.	OP744447		
Kilifi/RSVA/HF20024_03/04/2021	2021-04-03	Kenya	Africa	A.D.5	Lambisia,A.W.,Makori,T.O.,Mutunga,M.,Lewa,C.,Githinji,G.,Agoti,C.N.,Nokes,J.D.	OP744453		
Kilifi/RSVA/HF20012_21/03/2021	2021-03-21	Kenya	Africa	A.D.5	Lambisia,A.W.,Makori,T.O.,Mutunga,M.,Lewa,C.,Githinji,G.,Agoti,C.N.,Nokes,J.D.	OP744430		
Kilifi/RSVA/HF20023_01/04/2021	2021-04-01	Kenya	Africa	A.D.5	Lambisia,A.W.,Makori,T.O.,Mutunga,M.,Lewa,C.,Githinji,G.,Agoti,C.N.,Nokes,J.D.	OP744452		
Kilifi/RSVA/HF20153_2021-04-01	2021-04-01	Kenya	Africa	A.D.5	Lambisia,A.W.,Lewa,C.,Mutunga,M.,Okanda,D.,Githinji,G.,Nokes,J.D.,Agoti,C.N.	OR162208		
Kilifi/RSVA/HF20010_20/03/2021	2021-03-20	Kenya	Africa	A.D.5	Lambisia,A.W.,Makori,T.O.,Mutunga,M.,Lewa,C.,Githinji,G.,Agoti,C.N.,Nokes,J.D.	OP744441		
Kilifi/RSVA/HF20144_2021-03-20	2021-03-20	Kenya	Africa	A.D.5	Lambisia,A.W.,Lewa,C.,Mutunga,M.,Okanda,D.,Githinji,G.,Nokes,J.D.,Agoti,C.N.	OR162199		
Kilifi/RSVA/HF20000_03/03/2021	2021-03-03	Kenya	Africa	A.D.5	Lambisia,A.W.,Makori,T.O.,Mutunga,M.,Lewa,C.,Githinji,G.,Agoti,C.N.,Nokes,J.D.	OP744431		
Kilifi/RSVA/HF20151_2021-04-02	2021-04-02	Kenya	Africa	A.D.5	Lambisia,A.W.,Lewa,C.,Mutunga,M.,Okanda,D.,Githinji,G.,Nokes,J.D.,Agoti,C.N.	OR162206		
Kilifi/RSVA/HF20026_27/08/2021	2021-08-27	Kenya	Africa	A.D.5	Lambisia,A.W.,Makori,T.O.,Mutunga,M.,Lewa,C.,Githinji,G.,Agoti,C.N.,Nokes,J.D.	OP744455		
Kilifi/RSVA/HF20155_2021-08-28	2021-08-28	Kenya	Africa	A.D.5	Lambisia,A.W.,Lewa,C.,Mutunga,M.,Okanda,D.,Githinji,G.,Nokes,J.D.,Agoti,C.N.	OR162210		
Kilifi/RSVA/HF20166_2022-02-17	2022-02-17	Kenya	Africa	A.D.5	Lambisia,A.W.,Lewa,C.,Mutunga,M.,Okanda,D.,Githinji,G.,Nokes,J.D.,Agoti,C.N.	OR162221		
Kilifi/RSVA/HF20160_2022-02-11	2022-02-11	Kenya	Africa	A.D.5	Lambisia,A.W.,Lewa,C.,Mutunga,M.,Okanda,D.,Githinji,G.,Nokes,J.D.,Agoti,C.N.	OR162215		
Kilifi/RSVA/HF20222_2022-08-30	2022-08-30	Kenya	Africa	A.D.5	Lambisia,A.W.,Lewa,C.,Mutunga,M.,Okanda,D.,Githinji,G.,Nokes,J.D.,Agoti,C.N.	OR162277		
Kilifi/RSVA/HF20208_2022-05-03	2022-05-03	Kenya	Africa	A.D.5	Lambisia,A.W.,Lewa,C.,Mutunga,M.,Okanda,D.,Githinji,G.,Nokes,J.D.,Agoti,C.N.	OR162263		
hRSV-A-G43R72N7	2024-01-03	USA	North America	A.D.5.4	Lauring,A.S.,Papalambros,L.K.	PP781381		
hRSV-A-G43R39G8	2023-11-26	USA	North America	A.D.5.4	Lauring,A.S.,Papalambros,L.K.	PP270278		
MN-MDH-RSVA-00064	2023-10-08	USA	North America	A.D.5.4	Kunerth,H.D.,Plumb,M.,Namugenyi,S.,Evans,D.,Wang,X.	PP237788		
MN-MDH-RSVA-00903	2024-02-23	USA	North America	A.D.5.4	Kunerth,H.D.,Plumb,M.,Namugenyi,S.,Evans,D.,Bohnker,L.,Wang,X.	PP978514		
MN-MDH-RSVA-00072	2023-10-13	USA	North America	A.D.5.4	Kunerth,H.D.,Plumb,M.,Namugenyi,S.,Evans,D.,Wang,X.	PP237794		
MN-MDH-RSVA-00020	2023-08-30	USA	North America	A.D.5.4	Kunerth,H.D.,Plumb,M.,Namugenyi,S.,Evans,D.,Wang,X.	PP135016		
MN-MDH-RSVA-00017	2023-08-25	USA	North America	A.D.5.4	Kunerth,H.D.,Plumb,M.,Namugenyi,S.,Evans,D.,Wang,X.	PP135013		
hRSV-A-G43R94S3	2024-02-07	USA	North America	A.D.5.4	Lauring,A.S.,Papalambros,L.K.	PP781380		
MN-MDH-RSVA-00980	2024-01-14	USA	North America	A.D.5.4	Kunerth,H.,Plumb,M.,Namugenyi,S.,Evans,D.,Bohnkers-Voels,L.,Wang,X.	PQ762484		
MN-MDH-RSVA-00917	2024-03-03	USA	North America	A.D.5.4	Kunerth,H.D.,Plumb,M.,Namugenyi,S.,Evans,D.,Bohnker,L.,Wang,X.	PP978528		
MN-MDH-RSVA-00993	2024-03-13	USA	North America	A.D.5.4	Kunerth,H.,Plumb,M.,Namugenyi,S.,Evans,D.,Bohnkers-Voels,L.,Wang,X.	PQ762497		
MN-MDH-RSVA-00054	2023-10-09	USA	North America	A.D.5.4	Kunerth,H.D.,Plumb,M.,Namugenyi,S.,Evans,D.,Wang,X.	PP237785		
MN-MDH-RSVA-00070	2023-10-16	USA	North America	A.D.5.4	Kunerth,H.D.,Plumb,M.,Namugenyi,S.,Evans,D.,Wang,X.	PP237792		
MN-MDH-RSVA-00194	2023-11-03	USA	North America	A.D.5.4	Kunerth,H.D.,Plumb,M.,Namugenyi,S.,Evans,D.,Wang,X.	PP504627		
MN-MDH-RSVA-00458	2023-12-14	USA	North America	A.D.5.4	Kunerth,H.D.,Plumb,M.,Namugenyi,S.,Evans,D.,Wang,X.	PP830393		
MN-MDH-RSVA-00065	2023-10-08	USA	North America	A.D.5.4	Kunerth,H.D.,Plumb,M.,Namugenyi,S.,Evans,D.,Wang,X.	PP237789		
MN-MDH-RSVA-00200	2023-11-02	USA	North America	A.D.5.4	Kunerth,H.D.,Plumb,M.,Namugenyi,S.,Evans,D.,Wang,X.	PP504633		
MN-MDH-RSVA-00137	2023-10-28	USA	North America	A.D.5.4	Kunerth,H.D.,Plumb,M.,Namugenyi,S.,Evans,D.,Wang,X.	PP386348		
MN-MDH-RSVA-00219	2023-11-11	USA	North America	A.D.5.4	Kunerth,H.D.,Plumb,M.,Namugenyi,S.,Evans,D.,Wang,X.	PP504651		
MN-MDH-RSVA-00269	2023-11-21	USA	North America	A.D.5.4	Kunerth,H.D.,Plumb,M.,Namugenyi,S.,Evans,D.,Wang,X.	PP594812		
MN-MDH-RSVA-00139	2023-10-28	USA	North America	A.D.5.4	Kunerth,H.D.,Plumb,M.,Namugenyi,S.,Evans,D.,Wang,X.	PP386350		
MN-MDH-RSVA-00051	2023-10-04	USA	North America	A.D.5.4	Kunerth,H.D.,Plumb,M.,Namugenyi,S.,Evans,D.,Wang,X.	PP237783		
MN-MDH-RSVA-00976	2023-12-22	USA	North America	A.D.5.4	Kunerth,H.,Plumb,M.,Namugenyi,S.,Evans,D.,Bohnkers-Voels,L.,Wang,X.	PQ762480		
MN-MDH-RSVA-00529	2024-01-10	USA	North America	A.D.5.4	Kunerth,H.D.,Plumb,M.,Namugenyi,S.,Evans,D.,Wang,X.	PP847371		
MN-MDH-RSVA-00278	2023-12-04	USA	North America	A.D.5.4	Kunerth,H.D.,Plumb,M.,Namugenyi,S.,Evans,D.,Wang,X.	PP668164		
MN-MDH-RSVA-00131	2023-10-27	USA	North America	A.D.5.4	Kunerth,H.D.,Plumb,M.,Namugenyi,S.,Evans,D.,Wang,X.	PP386345		
MN-MDH-RSVA-00069	2023-10-12	USA	North America	A.D.5.4	Kunerth,H.D.,Plumb,M.,Namugenyi,S.,Evans,D.,Wang,X.	PP237791		
MN-MDH-RSVA-00046	2023-10-01	USA	North America	A.D.5.4	Kunerth,H.D.,Plumb,M.,Namugenyi,S.,Evans,D.,Wang,X.	PP237781		
MN-MDH-RSVA-00125	2023-10-27	USA	North America	A.D.5.4	Kunerth,H.D.,Plumb,M.,Namugenyi,S.,Evans,D.,Wang,X.	PP386339		
MN-MDH-RSVA-00221	2023-11-09	USA	North America	A.D.5.4	Kunerth,H.D.,Plumb,M.,Namugenyi,S.,Evans,D.,Wang,X.	PP504653		
MN-MDH-RSVA-00196	2023-11-04	USA	North America	A.D.5.4	Kunerth,H.D.,Plumb,M.,Namugenyi,S.,Evans,D.,Wang,X.	PP504629		
MN-MDH-RSVA-00403	2023-12-31	USA	North America	A.D.5.4	Kunerth,H.D.,Plumb,M.,Namugenyi,S.,Evans,D.,Wang,X.	PP709457		
MN-MDH-RSVA-00734	2024-02-02	USA	North America	A.D.5.4	Kunerth,H.D.,Plumb,M.,Namugenyi,S.,Evans,D.,Bohnker,L.,Wang,X.	PP957747		
MN-MDH-RSVA-00902	2024-02-23	USA	North America	A.D.5.4	Kunerth,H.D.,Plumb,M.,Namugenyi,S.,Evans,D.,Bohnker,L.,Wang,X.	PP978513		
MN-MDH-RSVA-01070	2024-01-12	USA	North America	A.D.5.4	Kunerth,H.,Plumb,M.,Namugenyi,S.,Evans,D.,Bohnkers-Voels,L.,Strain,A.	PQ788249		
MN-MDH-RSVA-00606	2024-01-26	USA	North America	A.D.5.4	Kunerth,H.D.,Plumb,M.,Namugenyi,S.,Evans,D.,Bohnker,L.,Wang,X.	PP910766		
MN-MDH-RSVA-00988	2024-01-28	USA	North America	A.D.5.4	Kunerth,H.,Plumb,M.,Namugenyi,S.,Evans,D.,Bohnkers-Voels,L.,Wang,X.	PQ762492		
MN-MDH-RSVA-00733	2024-02-02	USA	North America	A.D.5.4	Kunerth,H.D.,Plumb,M.,Namugenyi,S.,Evans,D.,Bohnker,L.,Wang,X.	PP957746		
MN-MDH-RSVA-01068	2024-01-13	USA	North America	A.D.5.4	Kunerth,H.,Plumb,M.,Namugenyi,S.,Evans,D.,Bohnkers-Voels,L.,Strain,A.	PQ788251		
MN-MDH-RSVA-00464	2023-12-15	USA	North America	A.D.5.4	Kunerth,H.D.,Plumb,M.,Namugenyi,S.,Evans,D.,Wang,X.	PP830399		
MN-MDH-RSVA-00518	2024-01-06	USA	North America	A.D.5.4	Kunerth,H.D.,Plumb,M.,Namugenyi,S.,Evans,D.,Wang,X.	PP847360		
MN-MDH-RSVA-00471	2023-12-24	USA	North America	A.D.5.4	Kunerth,H.D.,Plumb,M.,Namugenyi,S.,Evans,D.,Wang,X.	PP830406		
MN-MDH-RSVA-00542	2024-01-12	USA	North America	A.D.5.4	Kunerth,H.D.,Plumb,M.,Namugenyi,S.,Evans,D.,Wang,X.	PP847384		
MN-MDH-RSVA-00547	2024-01-20	USA	North America	A.D.5.4	Kunerth,H.D.,Plumb,M.,Namugenyi,S.,Evans,D.,Wang,X.	PP847389		
MN-MDH-RSVA-00255	2023-11-23	USA	North America	A.D.5.4	Kunerth,H.D.,Plumb,M.,Namugenyi,S.,Evans,D.,Wang,X.	PP594799		
MN-MDH-RSVA-00986	2024-01-30	USA	North America	A.D.5.4	Kunerth,H.,Plumb,M.,Namugenyi,S.,Evans,D.,Bohnkers-Voels,L.,Wang,X.	PQ762490		
MN-MDH-RSVA-00260	2023-11-24	USA	North America	A.D.5.4	Kunerth,H.D.,Plumb,M.,Namugenyi,S.,Evans,D.,Wang,X.	PP594807		
