strain	date	subclade_membership	clade_membership	country	author	accession	location	database	region
m2-3edUBd	2023-11-30	C.1	5a.2a	Switzerland		m2-3edUBd	BE	ReVSeq	Europe
GS_00A61SS.1	2024-02-15	C.1	5a.2a	USA	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.	GS_00A61SS.1			
GS_00ALUKJ.1	2024-02-14	C.1	5a.2a	USA	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.	GS_00ALUKJ.1			
m2-gkcF5C	2024-01-31	C.1	5a.2a	Switzerland		m2-gkcF5C	AG	ReVSeq	Europe
GS_00A0YNF.1	2024-02-01	C.1	5a.2a	United Kingdom	Gruner, W. E.; Muehleman, D. M.; Fries, A. C.; Hanson, J. F.; Kramer, D. L.; Demarcus, L. S.; Wasik, P. M.; Robbins, A. S.; Macias, E. A.; Shaw, K. B.; Johnson, C. D.; Hartless, T. R.; Hardy, J.	GS_00A0YNF.1			
GS_009W45J.1	2024-02-05	C.1	5a.2a	Switzerland		GS_009W45J.1			
GS_00A0XS8.1	2024-01-30	C.1	5a.2a	Germany	Gruner, W. E.; Muehleman, D. M.; Fries, A. C.; Hanson, J. F.; Kramer, D. L.; Demarcus, L. S.; Wasik, P. M.; Robbins, A. S.; Macias, E. A.; Shaw, K. B.; Johnson, C. D.; Hartless, T. R.; Hardy, J.	GS_00A0XS8.1			
GS_009SQL9.1	2023-08-15	C.1	5a.2a	USA	Lauring, A. S.; Papalambros, L.	GS_009SQL9.1			
GS_00A5DCB.1	2023-11-16	C.1	5a.2a	USA	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.	GS_00A5DCB.1			
GS_00A239Z.1	2023-03-27	C.1	5a.2a	China	Chen, J.; Lv, Tg.	GS_00A239Z.1			
GS_00A0LCE.1	2022-12-15	C.1	5a.2a	Kazakhstan	Kadyrova, I.; Shevtsov, A.; Babenko, D.	GS_00A0LCE.1			
GS_00A2381.1	2023-03-15	C.1	5a.2a	China	Chen, J.; Lv, Tg.	GS_00A2381.1			
GS_00A48EE.1	2023-01-24	C.1	5a.2a	USA	Heibeck, N.; Garrigues, J. M.; Green, N. M.	GS_00A48EE.1			
GS_009PU1G.1	2023-03-29	C.1	5a.2a	China	Xu, D.	GS_009PU1G.1			
GS_0098FPF.1	2023-03-10	C.1	5a.2a	China	Chen, S.; Ji, X.; Chen, L.; Cai, X.; Liang, R.	GS_0098FPF.1			
GS_0098FMK.1	2023-02-23	C.1	5a.2a	China	Chen, S.; Ji, X.; Chen, L.; Cai, X.; Liang, R.	GS_0098FMK.1			
GS_0098FU5.1	2023-02-28	C.1	5a.2a	China	Chen, S.; Ji, X.; Chen, L.; Cai, X.; Liang, R.	GS_0098FU5.1			
GS_0098FV3.1	2023-02-28	C.1	5a.2a	China	Chen, S.; Ji, X.; Chen, L.; Cai, X.; Liang, R.	GS_0098FV3.1			
m2-Sm9GYA	2024-01-12	C.1	5a.2a	Switzerland		m2-Sm9GYA	AG	ReVSeq	Europe
m2-32WNFL	2023-12-07	C.1	5a.2a	Switzerland		m2-32WNFL	GR	ReVSeq	Europe
GS_009P3UL.1	2023-06-27	C.1	5a.2a	USA	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.	GS_009P3UL.1			
GS_009HLX9.1	2023-03-02	C.1	5a.2a	China	Dai, Y. Z.; Cheng, J.	GS_009HLX9.1			
GS_009051J.1	2022-11-27	C.1	5a.2a	USA	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.	GS_009051J.1			
GS_0092BPX.1	2022-11-27	C.1	5a.2a	USA	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.	GS_0092BPX.1			
GS_009PTP6.1	2023-03-06	C.1	5a.2a	China	Xu, D.	GS_009PTP6.1			
GS_00A2373.1	2023-02-25	C.1	5a.2a	China	Chen, J.; Lv, Tg.	GS_00A2373.1			
GS_0098FKP.1	2023-02-10	C.1	5a.2a	China	Chen, S.; Ji, X.; Chen, L.; Cai, X.; Liang, R.	GS_0098FKP.1			
GS_0098FJR.1	2023-02-10	C.1	5a.2a	China	Chen, S.; Ji, X.; Chen, L.; Cai, X.; Liang, R.	GS_0098FJR.1			
GS_0098FLM.1	2023-02-10	C.1	5a.2a	China	Chen, S.; Ji, X.; Chen, L.; Cai, X.; Liang, R.	GS_0098FLM.1			
GS_0096T3E.1	2023-01-31	C.1	5a.2a	Germany	Gruner, W. E.; Muehleman, D. M.; Garrett, C. M.; Fries, A. C.; Hanson, J. F.; Kramer, D. L.; Demarcus, L. S.; Sjoberg, P. A.; Wasik, P. M.; Robbins, A. S.; Macias, E. A.; Shaw, K. B.; Chelsea, J. D.	GS_0096T3E.1			
GS_00A3FUE.1	2024-01-06	C.1	5a.2a	USA	Garrigues, J. M.; Green, N. M.	GS_00A3FUE.1			
GS_00A4R97.1	2023-12-12	C.1	5a.2a	USA	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.	GS_00A4R97.1			
GS_00A668Q.1	2023-12-18	C.1	5a.2a	USA	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.	GS_00A668Q.1			
GS_00A0Z6D.1	2024-01-24	C.1	5a.2a	Germany	Gruner, W. E.; Muehleman, D. M.; Fries, A. C.; Hanson, J. F.; Kramer, D. L.; Demarcus, L. S.; Wasik, P. M.; Robbins, A. S.; Macias, E. A.; Shaw, K. B.; Johnson, C. D.; Hartless, T. R.; Hardy, J.	GS_00A0Z6D.1			
GS_00A2XR6.1	2024-01-01	C.1	5a.2a	Peru	Meza, E.; Cuicapuza, D.; Martinez-Ventura, A.; Ayzanoa, B.; Zamudio, C.; Avendano, C.; Sobolik, E.; Greninger, A.; Tsukayama, P.	GS_00A2XR6.1			
GS_00A3CDE.1	2023-11-20	C.1	5a.2a	USA	Garrigues, J. M.; Green, N. M.	GS_00A3CDE.1			
m2-Y4wzR3	2024-02-16	C.1	5a.2a	Switzerland		m2-Y4wzR3	SZ	ReVSeq	Europe
m2-Rtjhba	2024-01-24	C.1	5a.2a	Switzerland		m2-Rtjhba	VD	ReVSeq	Europe
GS_00AEPQS.1	2023-11-23	C.1	5a.2a	USA	Simas, A.; Rothstein, A.; Sum, A.; Muir, G.; Qiu, X.	GS_00AEPQS.1			
GS_009WK53.1	2023-11-02	C.1	5a.2a	USA	Lauring, A. S.; Papalambros, L. K.	GS_009WK53.1			
GS_00A1WGU.1	2024-01-18	C.1	5a.2a	USA	Lauring, A. S.; Papalambros, L. K.	GS_00A1WGU.1			
GS_009ZEFG.1	2023-11-05	C.1	5a.2a	USA	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.	GS_009ZEFG.1			
GS_009ZQUD.1	2024-01-04	C.1	5a.2a	USA	Lauring, A. S.; Papalambros, L. K.	GS_009ZQUD.1			
GS_00A0KUG.1	2024-01-12	C.1	5a.2a	USA	Lauring, A. S.; Papalambros, L. K.	GS_00A0KUG.1			
GS_009XBZL.1	2023-12-17	C.1	5a.2a	USA	Lauring, A. S.; Papalambros, L. K.	GS_009XBZL.1			
GS_009Z5XS.1	2023-10-21	C.1	5a.2a	USA	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.	GS_009Z5XS.1			
GS_00A9UN1.1	2023-12-02	C.1	5a.2a	USA	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.	GS_00A9UN1.1			
GS_009Z5ZN.1	2023-10-23	C.1	5a.2a	USA	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.	GS_009Z5ZN.1			
GS_00A9QXM.1	2024-02-11	C.1	5a.2a	USA	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.	GS_00A9QXM.1			
GS_00AH1CY.1	2024-02-22	C.1	5a.2a	USA	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.	GS_00AH1CY.1			
m2-ss4Fh8	2024-01-19	C.1.8	5a.2a	Switzerland		m2-ss4Fh8	BL	ReVSeq	Europe
m2-mmYEfJ	2024-02-01	C.1.8	5a.2a	Switzerland		m2-mmYEfJ	TI	ReVSeq	Europe
m2-CLwScw	2023-12-28	C.1.8	5a.2a	Switzerland		m2-CLwScw	BS	ReVSeq	Europe
GS_009W47E.1	2024-02-13	C.1.8	5a.2a	Switzerland		GS_009W47E.1			
m2-TPsF65	2024-03-01	C.1.8	5a.2a	Switzerland		m2-TPsF65	BS	ReVSeq	Europe
m2-3p7s5a	2024-03-20	C.1.8	5a.2a	Switzerland		m2-3p7s5a	BL	ReVSeq	Europe
m2-F2HifQ	2024-01-18	C.1.8	5a.2a	Switzerland		m2-F2HifQ	AG	ReVSeq	Europe
m2-xYnaUy	2024-01-16	C.1.8	5a.2a	Switzerland		m2-xYnaUy	BS	ReVSeq	Europe
GS_009W4HT.1	2024-01-15	C.1.8	5a.2a	Switzerland		GS_009W4HT.1			
m2-LosGHn	2024-01-28	C.1.8	5a.2a	Switzerland		m2-LosGHn	BS	ReVSeq	Europe
GS_00A2670.1	2024-02-06	C.1.8	5a.2a	Germany	Gruner, W. E.; Muehleman, D. M.; Fries, A. C.; Hanson, J. F.; Kramer, D. L.; Demarcus, L. S.; Wasik, P. M.; Robbins, A. S.; Macias, E. A.; Shaw, K. B.; Johnson, C. D.; Hartless, T. R.; Hardy, J.	GS_00A2670.1			
m2-375EUk	2023-12-08	C.1.8	5a.2a	Switzerland		m2-375EUk	BS	ReVSeq	Europe
GS_009W2X1.1	2024-01-29	C.1.8	5a.2a	Switzerland		GS_009W2X1.1			
GS_009W31T.1	2024-01-19	C.1.8	5a.2a	Switzerland		GS_009W31T.1			
m2-m6243p	2024-01-17	C.1.8	5a.2a	Switzerland		m2-m6243p	ZH	ReVSeq	Europe
m2-q2oXnd	2024-01-09	C.1.8	5a.2a	Switzerland		m2-q2oXnd	SG	ReVSeq	Europe
m2-RyXauM	2023-12-27	C.1.8	5a.2a	Switzerland		m2-RyXauM	TI	ReVSeq	Europe
GS_009W3X0.1	2024-01-30	C.1.8	5a.2a	Switzerland		GS_009W3X0.1			
GS_009WLL5.1	2023-11-25	C.1.8	5a.2a	USA	Lauring, A. S.; Papalambros, L. K.	GS_009WLL5.1			
GS_009WM35.1	2023-11-29	C.1.8	5a.2a	USA	Lauring, A. S.; Papalambros, L. K.	GS_009WM35.1			
GS_009YRG5.1	2023-12-26	C.1.8	5a.2a	USA	Lauring, A. S.; Papalambros, L. K.	GS_009YRG5.1			
m2-xHGR9u	2024-01-17	C.1.8	5a.2a	Switzerland		m2-xHGR9u	AG	ReVSeq	Europe
GS_009YRE9.1	2023-12-26	C.1.8	5a.2a	USA	Lauring, A. S.; Papalambros, L. K.	GS_009YRE9.1			
m2-jtjCjd	2023-12-27	C.1.8	5a.2a	Switzerland		m2-jtjCjd	SO	ReVSeq	Europe
m2-eAr6Lo	2024-01-15	C.1.8	5a.2a	Switzerland		m2-eAr6Lo	AG	ReVSeq	Europe
GS_00A0682.1	2024-01-03	C.1.8	5a.2a	USA	Lauring, A. S.; Papalambros, L. K.	GS_00A0682.1			
GS_009YQ8N.1	2024-01-03	C.1.8	5a.2a	USA	Gruner, W. E.; Muehleman, D. M.; Fries, A. C.; Hanson, J. F.; Kramer, D. L.; Demarcus, L. S.; Wasik, P. M.; Robbins, A. S.; Macias, E. A.; Shaw, K. B.; Johnson, C. D.; Hartless, T. R.; Hardy, J.	GS_009YQ8N.1			
GS_00A0KAK.1	2024-01-08	C.1.8	5a.2a	USA	Lauring, A. S.; Papalambros, L. K.	GS_00A0KAK.1			
GS_009W4RB.1	2024-01-30	C.1.8	5a.2a	Switzerland		GS_009W4RB.1			
GS_009W39B.1	2024-01-31	C.1.8	5a.2a	Switzerland		GS_009W39B.1			
m2-4L3pXZ	2024-01-27	C.1.8	5a.2a	Switzerland		m2-4L3pXZ	SG	ReVSeq	Europe
m2-WrGEQp	2024-02-27	C.1.8	5a.2a	Switzerland		m2-WrGEQp	AG	ReVSeq	Europe
GS_009XN16.1	2023-12-02	C.1.8	5a.2a	USA	Lauring, A. S.; Papalambros, L. K.	GS_009XN16.1			
m2-4UF9K6	2023-12-28	C.1.8	5a.2a	Switzerland		m2-4UF9K6	GE	ReVSeq	Europe
m2-C983Zw	2024-02-19	C.1.8	5a.2a	Switzerland		m2-C983Zw	AG	ReVSeq	Europe
GS_009W4C4.1	2024-01-22	C.1.8	5a.2a	Switzerland		GS_009W4C4.1			
GS_00AERNU.1	2024-03-03	C.1.8	5a.2a	USA	Simas, A.; Rothstein, A.; Sum, A.; Muir, G.; Qiu, X.	GS_00AERNU.1			
GS_00A269W.1	2024-02-20	C.1.8	5a.2a	Germany	Gruner, W. E.; Muehleman, D. M.; Fries, A. C.; Hanson, J. F.; Kramer, D. L.; Demarcus, L. S.; Wasik, P. M.; Robbins, A. S.; Macias, E. A.; Shaw, K. B.; Johnson, C. D.; Hartless, T. R.; Hardy, J.	GS_00A269W.1			
GS_009W43N.1	2024-01-23	C.1.8	5a.2a	Switzerland		GS_009W43N.1			
GS_00A33EM.1	2024-01-29	C.1.8	5a.2a	USA	Lauring, A. S.; Papalambros, L. K.	GS_00A33EM.1			
m2-K2udH5	2024-01-30	C.1.8	5a.2a	Switzerland		m2-K2udH5	BL	ReVSeq	Europe
m2-hozdkG	2024-02-15	C.1.8	5a.2a	Switzerland		m2-hozdkG	BL	ReVSeq	Europe
GS_00ABCVZ.1	2024-03-24	C.1.8	5a.2a	USA	Lauring, A. S.; Papalambros, L. K.	GS_00ABCVZ.1			
GS_00ABNZF.1	2024-04-13	C.1.8	5a.2a	USA	Gruner, W. E.; Muehleman, D. M.; Fries, A. C.; Hanson, J. F.; Kramer, D. L.; Demarcus, L. S.; Wasik, P. M.; Robbins, A. S.; Macias, E. A.; Shaw, K. B.; Johnson, C. D.; Hartless, T. R.; Hardy, J.	GS_00ABNZF.1			
GS_00A2G7Q.1	2024-02-14	C.1.8	5a.2a	USA	Lauring, A. S.; Papalambros, L. K.	GS_00A2G7Q.1			
GS_00A5WGL.1	2024-03-04	C.1.8	5a.2a	USA	Lauring, A. S.; Papalambros, L. K.	GS_00A5WGL.1			
GS_00A38AQ.1	2024-02-16	C.1.8	5a.2a	USA	Lauring, A. S.; Papalambros, L. K.	GS_00A38AQ.1			
GS_00A0TJU.1	2024-01-25	C.1.8	5a.2a	USA	Lauring, A. S.; Papalambros, L. K.	GS_00A0TJU.1			
m2-iDqyV9	2024-01-25	C.1.8	5a.2a	Switzerland		m2-iDqyV9	SZ	ReVSeq	Europe
GS_009W2YZ.1	2024-01-31	C.1.8	5a.2a	Switzerland		GS_009W2YZ.1			
GS_009W4YX.1	2024-02-19	C.1.8	5a.2a	Switzerland		GS_009W4YX.1			
m2-3H4uLZ	2024-02-01	C.1.8	5a.2a	Switzerland		m2-3H4uLZ	AG	ReVSeq	Europe
m2-HtiJwT	2024-02-19	C.1.8	5a.2a	Switzerland		m2-HtiJwT	AG	ReVSeq	Europe
GS_00A0DHA.1	2023-12-21	C.1.8	5a.2a	Italy	Gruner, W. E.; Muehleman, D. M.; Fries, A. C.; Hanson, J. F.; Kramer, D. L.; Demarcus, L. S.; Wasik, P. M.; Robbins, A. S.; Macias, E. A.; Shaw, K. B.; Johnson, C. D.; Hartless, T. R.; Hardy, J.	GS_00A0DHA.1			
GS_009W4GW.1	2024-01-15	C.1.8	5a.2a	Switzerland		GS_009W4GW.1			
m2-w9v3Qv	2024-01-12	C.1.8	5a.2a	Switzerland		m2-w9v3Qv	BS	ReVSeq	Europe
m2-itJLqU	2023-12-29	C.1.8	5a.2a	Switzerland		m2-itJLqU	TI	ReVSeq	Europe
m2-oLXZ9a	2024-01-17	C.1.8	5a.2a	Switzerland		m2-oLXZ9a	BL	ReVSeq	Europe
m2-mc3GSV	2023-12-28	C.1.9	5a.2a	Switzerland		m2-mc3GSV	BS	ReVSeq	Europe
m2-SQZYHn	2024-01-17	C.1.9	5a.2a	Switzerland		m2-SQZYHn	BL	ReVSeq	Europe
m2-QqAEGg	2024-02-22	C.1.9	5a.2a	Switzerland		m2-QqAEGg	VS	ReVSeq	Europe
m2-gF3E5u	2024-02-22	C.1.9	5a.2a	Switzerland		m2-gF3E5u	VS	ReVSeq	Europe
m2-V5iihT	2024-01-18	C.1.9	5a.2a	Switzerland		m2-V5iihT	VD	ReVSeq	Europe
m2-b99ooj	2024-02-27	C.1.9	5a.2a	Switzerland		m2-b99ooj	AG	ReVSeq	Europe
m2-PGoRgN	2024-02-20	C.1.9	5a.2a	Switzerland		m2-PGoRgN	VD	ReVSeq	Europe
m2-ydSpNQ	2024-01-16	C.1.9	5a.2a	Switzerland		m2-ydSpNQ	AG	ReVSeq	Europe
m2-XEuJCy	2023-12-22	C.1.9	5a.2a	Switzerland		m2-XEuJCy	AG	ReVSeq	Europe
m2-tDscqy	2024-02-16	C.1.9	5a.2a	Switzerland		m2-tDscqy	TI	ReVSeq	Europe
m2-SKJgwA	2024-01-18	C.1.9	5a.2a	Switzerland		m2-SKJgwA	AG	ReVSeq	Europe
m2-FXFt6J	2024-03-04	C.1.9	5a.2a	Switzerland		m2-FXFt6J	BS	ReVSeq	Europe
m2-gaQkyT	2024-03-06	C.1.9	5a.2a	Switzerland		m2-gaQkyT	BS	ReVSeq	Europe
GS_00A2753.1	2024-02-22	C.1.9	5a.2a	United Kingdom	Gruner, W. E.; Muehleman, D. M.; Fries, A. C.; Hanson, J. F.; Kramer, D. L.; Demarcus, L. S.; Wasik, P. M.; Robbins, A. S.; Macias, E. A.; Shaw, K. B.; Johnson, C. D.; Hartless, T. R.; Hardy, J.	GS_00A2753.1			
m2-qWgDtq	2024-06-04	C.1.9	5a.2a	Switzerland		m2-qWgDtq	VD	ReVSeq	Europe
GS_00AET6R.1	2024-01-11	C.1.9	5a.2a	USA	Simas, A.; Rothstein, A.; Sum, A.; Muir, G.; Qiu, X.	GS_00AET6R.1			
GS_009W3KQ.1	2024-02-02	C.1.9	5a.2a	Switzerland		GS_009W3KQ.1			
GS_00AKYDV.1	2024-05-29	C.1.9.3	5a.2a	Hong Kong	Cowling, B. J.; Leung, N. H. L.; Cheng, S. M. S.; Peiris, M.	GS_00AKYDV.1			
GS_00A53AR.1	2023-12-04	C.1.9	5a.2a	USA	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.	GS_00A53AR.1			
GS_00A0TZY.1	2024-01-27	C.1.9	5a.2a	USA	Lauring, A. S.; Papalambros, L. K.	GS_00A0TZY.1			
GS_009W3V4.1	2024-02-02	C.1.9	5a.2a	Switzerland		GS_009W3V4.1			
GS_00A2XME.1	2024-01-01	C.1.9	5a.2a	Peru	Meza, E.; Cuicapuza, D.; Martinez-Ventura, A.; Ayzanoa, B.; Zamudio, C.; Avendano, C.; Sobolik, E.; Greninger, A.; Tsukayama, P.	GS_00A2XME.1			
GS_00A38UM.1	2024-02-29	C.1.9	5a.2a	USA	Lauring, A. S.; Papalambros, L. K.	GS_00A38UM.1			
GS_00A5WDS.1	2024-03-04	C.1.9	5a.2a	USA	Lauring, A. S.; Papalambros, L. K.	GS_00A5WDS.1			
GS_00A5W90.1	2024-02-23	C.1.9	5a.2a	USA	Lauring, A. S.; Papalambros, L. K.	GS_00A5W90.1			
GS_00A5WYM.1	2024-03-12	C.1.9	5a.2a	USA	Lauring, A. S.; Papalambros, L. K.	GS_00A5WYM.1			
m2-9eyPAv	2024-03-30	C.1.9	5a.2a	Switzerland		m2-9eyPAv	AG	ReVSeq	Europe
m2-ztFGoy	2024-04-02	C.1.9	5a.2a	Switzerland		m2-ztFGoy	ZH	ReVSeq	Europe
GS_00A27UQ.1	2024-01-04	C.1.9	5a.2a	Peru	Meza, E.; Cuicapuza, D.; Martinez-Ventura, A.; Ayzanoa, B.; Zamudio, C.; Tsukayama, P.	GS_00A27UQ.1			
GS_00A0HJ4.1	2024-01-07	C.1.9	5a.2a	USA	Lauring, A. S.; Papalambros, L. K.	GS_00A0HJ4.1			
GS_00A0HH6.1	2024-01-07	C.1.9	5a.2a	USA	Lauring, A. S.; Papalambros, L. K.	GS_00A0HH6.1			
GS_00A2662.1	2024-02-06	C.1.9	5a.2a	Germany	Gruner, W. E.; Muehleman, D. M.; Fries, A. C.; Hanson, J. F.; Kramer, D. L.; Demarcus, L. S.; Wasik, P. M.; Robbins, A. S.; Macias, E. A.; Shaw, K. B.; Johnson, C. D.; Hartless, T. R.; Hardy, J.	GS_00A2662.1			
m2-juVwzj	2024-02-01	C.1.9	5a.2a	Switzerland		m2-juVwzj	AG	ReVSeq	Europe
m2-bpDXvz	2024-04-26	C.1.9	5a.2a	Switzerland		m2-bpDXvz	BS	ReVSeq	Europe
GS_009W4W1.1	2024-02-21	C.1.9	5a.2a	Switzerland		GS_009W4W1.1			
m2-6z2wf2	2024-03-07	C.1.9	5a.2a	Switzerland		m2-6z2wf2	AG	ReVSeq	Europe
m2-kNU7js	2024-02-15	C.1.9	5a.2a	Switzerland		m2-kNU7js	AG	ReVSeq	Europe
GS_009W3GX.1	2024-02-14	C.1.9	5a.2a	Switzerland		GS_009W3GX.1			
GS_009W3E1.1	2024-04-02	C.1.9	5a.2a	Switzerland		GS_009W3E1.1			
m2-DwiwwU	2024-01-19	C.1.9	5a.2a	Switzerland		m2-DwiwwU	BL	ReVSeq	Europe
m2-4rvG7f	2024-01-19	C.1.9	5a.2a	Switzerland		m2-4rvG7f	AG	ReVSeq	Europe
m2-uTpHe5	2024-01-24	C.1.9	5a.2a	Switzerland		m2-uTpHe5	BS	ReVSeq	Europe
m2-BnbHLr	2024-01-26	C.1.9	5a.2a	Switzerland		m2-BnbHLr	BS	ReVSeq	Europe
GS_009W4V3.1	2024-01-26	C.1.9	5a.2a	Switzerland		GS_009W4V3.1			
m2-LCBdav	2024-01-31	C.1.9	5a.2a	Switzerland		m2-LCBdav	BS	ReVSeq	Europe
m2-sr4bvM	2024-02-02	C.1.9	5a.2a	Switzerland		m2-sr4bvM	BS	ReVSeq	Europe
GS_00A26K9.1	2024-02-08	C.1.9	5a.2a	Germany	Gruner, W. E.; Muehleman, D. M.; Fries, A. C.; Hanson, J. F.; Kramer, D. L.; Demarcus, L. S.; Wasik, P. M.; Robbins, A. S.; Macias, E. A.; Shaw, K. B.; Johnson, C. D.; Hartless, T. R.; Hardy, J.	GS_00A26K9.1			
m2-JFKsEJ	2024-02-20	C.1.9	5a.2a	Switzerland		m2-JFKsEJ	AG	ReVSeq	Europe
m2-DgRuyg	2024-02-14	C.1.9	5a.2a	Switzerland		m2-DgRuyg	BS	ReVSeq	Europe
m2-DMLKnU	2024-02-15	C.1.9	5a.2a	Switzerland		m2-DMLKnU	BS	ReVSeq	Europe
m2-YBrMoY	2024-02-16	C.1.9	5a.2a	Switzerland		m2-YBrMoY	BL	ReVSeq	Europe
m2-AcEG8S	2024-02-18	C.1.9	5a.2a	Switzerland		m2-AcEG8S	AG	ReVSeq	Europe
m2-gyUNUP	2024-02-19	C.1.9	5a.2a	Switzerland		m2-gyUNUP	BL	ReVSeq	Europe
m2-sAyJww	2024-02-27	C.1.9	5a.2a	Switzerland		m2-sAyJww	AG	ReVSeq	Europe
m2-2hKeW2	2024-02-27	C.1.9	5a.2a	Switzerland		m2-2hKeW2	AG	ReVSeq	Europe
m2-j3ZXpL	2024-02-29	C.1.9	5a.2a	Switzerland		m2-j3ZXpL	BL	ReVSeq	Europe
m2-uSTYZ2	2024-03-04	C.1.9	5a.2a	Switzerland		m2-uSTYZ2	BS	ReVSeq	Europe
m2-TPgies	2024-03-11	C.1.9	5a.2a	Switzerland		m2-TPgies	BS	ReVSeq	Europe
m2-5cJWyf	2024-03-13	C.1.9	5a.2a	Switzerland		m2-5cJWyf	SH	ReVSeq	Europe
GS_00AH4P6.1	2024-02-26	C.1.9	5a.2a	USA	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.	GS_00AH4P6.1			
GS_00A5BH2.1	2023-12-12	C.1.9	5a.2a	USA	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.	GS_00A5BH2.1			
GS_00AER8P.1	2024-02-04	C.1.9	5a.2a	USA	Simas, A.; Rothstein, A.; Sum, A.; Muir, G.; Qiu, X.	GS_00AER8P.1			
GS_00AETMU.1	2023-12-08	C.1.9	5a.2a	USA	Simas, A.; Rothstein, A.; Sum, A.; Muir, G.; Qiu, X.	GS_00AETMU.1			
m2-f8rfBe	2024-03-04	C.1.9	5a.2a	Switzerland		m2-f8rfBe	BL	ReVSeq	Europe
