strain	date	location	subclade_membership	clade_membership	country	database	region	accession	author
GS_008V1UB.1	2022-10-04		C.1.1	5a.2a.1	USA			GS_008V1UB.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_008YPMX.1	2022-12-07		C.1.1	5a.2a.1	United Kingdom			GS_008YPMX.1	Gruner, W. E.; Muehleman, D. M.; Fries, A. C.; Garrett, C. M.; Kramer, D. L.; Hanson, J. F.; Demarcus, L. S.; Sjoberg, P. A.; Wasik, P. M.; Robbins, A. S.; Macias, E. A.; Shaw, K. B.; Johnson, C. D.
GS_0094LC7.1	2022-12-14		C.1.1	5a.2a.1	United Kingdom			GS_0094LC7.1	Williams, T. G. S.; Nebbia, G.; Alder, C.; Snell, L. B.
GS_008ZFFG.1	2022-12-20		C.1.1	5a.2a.1	Germany			GS_008ZFFG.1	Gruner, W. E.; Muehleman, D. M.; Garrett, C. M.; Fries, A. C.; Hanson, J. F.; Kramer, D. L.; Demarcus, L. S.; Sjoberg, P. A.; Wasik, P. M.; Robbins, A. S.; Macias, E. A.; Shaw, K. B.; Selent, M. U.
GS_008ZF36.1	2022-12-14		C.1.1	5a.2a.1	Germany			GS_008ZF36.1	Gruner, W. E.; Muehleman, D. M.; Garrett, C. M.; Fries, A. C.; Hanson, J. F.; Kramer, D. L.; Demarcus, L. S.; Sjoberg, P. A.; Wasik, P. M.; Robbins, A. S.; Macias, E. A.; Shaw, K. B.; Selent, M. U.
GS_008Q217.1	2022-09-29		C.1.1	5a.2a.1	Germany			GS_008Q217.1	Gruner, W. E.; Muehleman, D. M.; Fries, A. C.; Garrett, C. M.; Kramer, D. L.; Hanson, J. F.; Demarcus, L. S.; Sjoberg, P. A.; Wasik, P. M.; Robbins, A. S.; Macias, E. A.; Shaw, K. B.; Johnson, C. D.
GS_0094N0V.1	2022-12-05		C.1.1	5a.2a.1	United Kingdom			GS_0094N0V.1	Williams, T. G. S.; Nebbia, G.; Alder, C.; Snell, L. B.
GS_008VN53.1	2022-10-13		C.1.1	5a.2a.1	Germany			GS_008VN53.1	Gruner, W. E.; Muehleman, D. M.; Fries, A. C.; Garrett, C. M.; Kramer, D. L.; Hanson, J. F.; Demarcus, L. S.; Sjoberg, P. A.; Wasik, P. M.; Robbins, A. S.; Macias, E. A.; Shaw, K. B.; Johnson, C. D.
GS_0096BBE.1	2022-11-30		C.1.1	5a.2a.1	USA			GS_0096BBE.1	Fitzsimmons, W.; Bendall, E.; Gilbert, J.; Lauring, A.
GS_0096GQG.1	2022-12-09		C.1.1	5a.2a.1	USA			GS_0096GQG.1	Fitzsimmons, W.; Bendall, E.; Gilbert, J.; Lauring, A.
GS_0092A9T.1	2022-11-28		C.1.1	5a.2a.1	USA			GS_0092A9T.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_0096FW5.1	2022-12-08		C.1.1	5a.2a.1	USA			GS_0096FW5.1	Fitzsimmons, W.; Bendall, E.; Gilbert, J.; Lauring, A.
GS_008W0W6.1	2022-11-08		C.1.1	5a.2a.1	USA			GS_008W0W6.1	Gruner, W. E.; Muehleman, D. M.; Fries, A. C.; Garrett, C. M.; Kramer, D. L.; Hanson, J. F.; Demarcus, L. S.; Sjoberg, P. A.; Wasik, P. M.; Robbins, A. S.; Macias, E. A.; Shaw, K. B.; Johnson, C. D.
GS_0091MSH.1	2022-12-20		C.1.1	5a.2a.1	USA			GS_0091MSH.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_009A2BF.1	2022-12-31		C.1.1	5a.2a.1	USA			GS_009A2BF.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_009A2AH.1	2022-12-31		C.1.1	5a.2a.1	USA			GS_009A2AH.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_0096B7N.1	2022-11-29		D	5a.2a.1	USA			GS_0096B7N.1	Fitzsimmons, W.; Bendall, E.; Gilbert, J.; Lauring, A.
GS_00930S0.1	2022-10-02		D	5a.2a.1	Australia			GS_00930S0.1	Aziz, A.; Deng, Y.; Barr, I.
GS_0091FWF.1	2022-11-28		D	5a.2a.1	USA			GS_0091FWF.1	Gruner, W. E.; Muehleman, D. M.; Garrett, C. M.; Fries, A. C.; Hanson, J. F.; Kramer, D. L.; Demarcus, L. S.; Sjoberg, P. A.; Wasik, P. M.; Robbins, A. S.; Macias, E. A.; Shaw, K. B.; Selent, M. U.
GS_008YLAP.1	2022-11-29		D	5a.2a.1	USA			GS_008YLAP.1	Gruner, W. E.; Muehleman, D. M.; Fries, A. C.; Garrett, C. M.; Kramer, D. L.; Hanson, J. F.; Demarcus, L. S.; Sjoberg, P. A.; Wasik, P. M.; Robbins, A. S.; Macias, E. A.; Shaw, K. B.; Johnson, C. D.
GS_008V2BB.1	2022-10-26		D	5a.2a.1	USA			GS_008V2BB.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_0092A35.1	2022-12-26		D	5a.2a.1	USA			GS_0092A35.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_0092N5P.1	2022-12-08		D	5a.2a.1	USA			GS_0092N5P.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_008V1JX.1	2022-10-25		D	5a.2a.1	USA			GS_008V1JX.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_0092A19.1	2022-11-29		D	5a.2a.1	USA			GS_0092A19.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_00929DL.1	2022-12-03		D	5a.2a.1	USA			GS_00929DL.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_0092KZ3.1	2022-12-17		D	5a.2a.1	USA			GS_0092KZ3.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_008VRZB.1	2022-11-13		D	5a.2a.1	USA			GS_008VRZB.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_008V9FW.1	2022-11-02		D	5a.2a.1	USA			GS_008V9FW.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_0092754.1	2022-12-04		D	5a.2a.1	USA			GS_0092754.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_00926YJ.1	2022-12-07		D	5a.2a.1	USA			GS_00926YJ.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_0096GAB.1	2022-12-09		D	5a.2a.1	USA			GS_0096GAB.1	Fitzsimmons, W.; Bendall, E.; Gilbert, J.; Lauring, A.
GS_0096JE1.1	2022-12-12		D	5a.2a.1	USA			GS_0096JE1.1	Fitzsimmons, W.; Bendall, E.; Gilbert, J.; Lauring, A.
GS_008V2Y2.1	2022-10-12		D	5a.2a.1	USA			GS_008V2Y2.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_0092Q1V.1	2022-12-28		D	5a.2a.1	USA			GS_0092Q1V.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_009A1DC.1	2023-01-25		D	5a.2a.1	USA			GS_009A1DC.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_009CU9P.1	2023-03-03		D	5a.2a.1	USA			GS_009CU9P.1	Nunley, E.; Xie, H.; Furlong, J.; Kim, D. Y.; Varela, C.; Goya, S.; Greninger, A.
GS_008YLM0.1	2022-11-28		D	5a.2a.1	USA			GS_008YLM0.1	Gruner, W. E.; Muehleman, D. M.; Fries, A. C.; Garrett, C. M.; Kramer, D. L.; Hanson, J. F.; Demarcus, L. S.; Sjoberg, P. A.; Wasik, P. M.; Robbins, A. S.; Macias, E. A.; Shaw, K. B.; Johnson, C. D.
GS_0092BL3.1	2022-12-06		D	5a.2a.1	USA			GS_0092BL3.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_0091L5T.1	2022-12-25		D	5a.2a.1	USA			GS_0091L5T.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_0096GGZ.1	2022-12-09		D	5a.2a.1	USA			GS_0096GGZ.1	Fitzsimmons, W.; Bendall, E.; Gilbert, J.; Lauring, A.
GS_0092A43.1	2022-12-28		D	5a.2a.1	USA			GS_0092A43.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_0092MPM.1	2022-12-28		D	5a.2a.1	USA			GS_0092MPM.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_008V001.1	2022-10-11		D	5a.2a.1	USA			GS_008V001.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_008UZZ5.1	2022-10-11		D	5a.2a.1	USA			GS_008UZZ5.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_0092CAP.1	2022-11-28		D	5a.2a.1	USA			GS_0092CAP.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_0096C9H.1	2022-12-01		D	5a.2a.1	USA			GS_0096C9H.1	Fitzsimmons, W.; Bendall, E.; Gilbert, J.; Lauring, A.
GS_0092PF2.1	2022-11-28		D	5a.2a.1	USA			GS_0092PF2.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_009NP89.1	2023-08-08		D	5a.2a.1	USA			GS_009NP89.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_0091L6R.1	2022-12-27		D	5a.2a.1	USA			GS_0091L6R.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_0092JDB.1	2022-11-25		D	5a.2a.1	USA			GS_0092JDB.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_008V9B4.1	2022-10-31		D	5a.2a.1	USA			GS_008V9B4.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_008V9C2.1	2022-10-31		D	5a.2a.1	USA			GS_008V9C2.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_008V17L.1	2022-10-26		D	5a.2a.1	USA			GS_008V17L.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_009A104.1	2023-01-10		D	5a.2a.1	USA			GS_009A104.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_008VS5Z.1	2022-11-15		D	5a.2a.1	USA			GS_008VS5Z.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_008VS33.1	2022-11-21		D	5a.2a.1	USA			GS_008VS33.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_008VAU2.1	2022-11-14		D	5a.2a.1	USA			GS_008VAU2.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_0092NF3.1	2022-12-06		D	5a.2a.1	USA			GS_0092NF3.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_00903CY.1	2022-12-06		D	5a.2a.1	USA			GS_00903CY.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_0092KX7.1	2022-12-06		D	5a.2a.1	USA			GS_0092KX7.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_008VTFC.1	2022-11-22		D	5a.2a.1	USA			GS_008VTFC.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_008V2W6.1	2022-11-01		D	5a.2a.1	USA			GS_008V2W6.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_0092NMQ.1	2022-11-20		D	5a.2a.1	USA			GS_0092NMQ.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_008VAFV.1	2022-10-22		D	5a.2a.1	USA			GS_008VAFV.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_0091MH1.1	2022-12-24		D	5a.2a.1	USA			GS_0091MH1.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_0091MJZ.1	2022-12-24		D	5a.2a.1	USA			GS_0091MJZ.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_0091NH0.1	2023-01-04		D	5a.2a.1	USA			GS_0091NH0.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_0091NCB.1	2022-12-19		D	5a.2a.1	USA			GS_0091NCB.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_0092NV8.1	2022-12-19		D	5a.2a.1	USA			GS_0092NV8.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_009A0G7.1	2023-01-06		D	5a.2a.1	USA			GS_009A0G7.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_0091LNS.1	2022-12-11		D	5a.2a.1	USA			GS_0091LNS.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
