strain	date	country	region	location	clade_membership	author	accession	database
810101001	2017-12-11	Japan	Asia		A.D.1	Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.	PP376281	
810101011	2018-01-21	Japan	Asia		A.D	Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.	PP376694	
810103027	2019-10-21	Japan	Asia		A.D.3	Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.	PP376696	
810103044	2020-01-06	Japan	Asia		A.D	Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.	PP376528	
820103001	2020-02-13	South Korea	Asia		A.D.3	Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.	PP376605	
820103052	2019-12-18	South Korea	Asia		A.D.2.1	Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.	PP376654	
886103015	2019-12-10	Taiwan	Asia		A.D.3	Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.	PP376566	
KU316137	1979-09-20	USA	North America	Ny	A	Das,S.R.,Halpin,R.A.,Puri,V.,Akopov,A.,Fedorova,N.,Stockwell,T.,Amedeo,P.,Bishop,B.,Katzel,D.,Schobel,S.,Shrivastava,S.,Hall,C.B.,Tesini,B.L.,Schnabel,K.C.,Walsh,E.E.,Caserta,M.	KU316137	
KP258715	1988-12-30	USA	North America		A	Das,S.R.,Halpin,R.A.,Puri,V.,Akopov,A.,Fedorova,N.,Stockwell,T.,Amedeo,P.,Bishop,B.,Katzel,D.,Schobel,S.,Shrivastava,S.,Wentworth,D.E.,Caserta,M.	KP258715	
KU316150	1978-12-31	USA	North America	Ny	A	Das,S.R.,Halpin,R.A.,Puri,V.,Akopov,A.,Fedorova,N.,Stockwell,T.,Amedeo,P.,Bishop,B.,Katzel,D.,Schobel,S.,Shrivastava,S.,Hall,C.B.,Tesini,B.L.,Schnabel,K.C.,Walsh,E.E.,Caserta,M.	KU316150	
MG642032	1980-12-31	USA	North America	Ny	A	Shabman,R.,Fedorova,N.,Puri,V.,Shrivastava,S.,Amedeo,P.,Isom,R.,Hu,L.,Pickett,B.,Novotny,M.,Durbin,A.,Rocchi,I.,Williams,T.,Hall,C.B.,Tesini,B.L.,Schnabel,K.C.,Walsh,E.E.,Caserta,M.	MG642032	
KP856967	1981-04-04	USA	North America		A	Das,S.R.,Halpin,R.A.,Puri,V.,Akopov,A.,Fedorova,N.,Stockwell,T.,Amedeo,P.,Bishop,B.,Katzel,D.,Schobel,S.,Shrivastava,S.,Wentworth,D.E.,Caserta,M.	KP856967	
MG642079	1982-12-31	USA	North America	Ny	A.2	Shabman,R.,Fedorova,N.,Puri,V.,Shrivastava,S.,Amedeo,P.,Isom,R.,Hu,L.,Pickett,B.,Novotny,M.,Durbin,A.,Rocchi,I.,Williams,T.,Hall,C.B.,Tesini,B.L.,Schnabel,K.C.,Walsh,E.E.,Caserta,M.	MG642079	
KP258711	1992-12-31	USA	North America		A.2	Das,S.R.,Halpin,R.A.,Puri,V.,Akopov,A.,Fedorova,N.,Stockwell,T.,Amedeo,P.,Bishop,B.,Katzel,D.,Schobel,S.,Shrivastava,S.,Wentworth,D.E.,Caserta,M.	KP258711	
KP258740	1993-04-30	USA	North America		A.2	Das,S.R.,Halpin,R.A.,Puri,V.,Akopov,A.,Fedorova,N.,Stockwell,T.,Amedeo,P.,Bishop,B.,Katzel,D.,Schobel,S.,Shrivastava,S.,Wentworth,D.E.,Caserta,M.	KP258740	
KP258703	1997-04-05	USA	North America		A.2	Das,S.R.,Halpin,R.A.,Puri,V.,Akopov,A.,Fedorova,N.,Stockwell,T.,Amedeo,P.,Bishop,B.,Katzel,D.,Schobel,S.,Shrivastava,S.,Wentworth,D.E.,Caserta,M.	KP258703	
KU316176	1990-12-31	USA	North America	Ny	A.2	Das,S.R.,Halpin,R.A.,Puri,V.,Akopov,A.,Fedorova,N.,Stockwell,T.,Amedeo,P.,Bishop,B.,Katzel,D.,Schobel,S.,Shrivastava,S.,Hall,C.B.,Tesini,B.L.,Schnabel,K.C.,Walsh,E.E.,Caserta,M.	KU316176	
OK649671	1995-12-31	USA	North America		A.2	Wang,L.,Ng,T.F.F.,Castro,C.J.,Marine,R.L.,Magana,L.C.,Esona,M.,Peret,T.C.T.,Thornburg,N.J.	OK649671	
KU316145	1996-12-22	USA	North America	Ny	A.2	Das,S.R.,Halpin,R.A.,Puri,V.,Akopov,A.,Fedorova,N.,Stockwell,T.,Amedeo,P.,Bishop,B.,Katzel,D.,Schobel,S.,Shrivastava,S.,Hall,C.B.,Tesini,B.L.,Schnabel,K.C.,Walsh,E.E.,Caserta,M.	KU316145	
02-00291	2002-01-04	Netherlands	Europe		A.2.1	Tan,L.,Lemey,P.,Houspie,L.,C Viveen,M.,Jansen,N.J.,van Loon,A.M.,Wiertz,E.,van Bleek,G.M.,Martin,D.P.,Coenjaerts,F.E.,Viveen,M.,Coenjaerts,F.	JQ901454	
hRSV/A/Germany/00-02321/2000	2000-02-23	Germany	Europe		A.2.1	Kondgen,S.,Reiche,J.	OR795294	
hRSV/A/Germany/03-01038/2003	2003-02-04	Germany	Europe		A.2.1	Kondgen,S.,Reiche,J.	OR795308	
05-000257	2005-01-04	Netherlands	Europe		A.2.1	Tan,L.,Lemey,P.,Houspie,L.,C Viveen,M.,Jansen,N.J.,van Loon,A.M.,Wiertz,E.,van Bleek,G.M.,Martin,D.P.,Coenjaerts,F.E.,Viveen,M.,Coenjaerts,F.E.J.	JX015485	
06-000827	2006-01-09	Netherlands	Europe		A.2.1	Tan,L.,Lemey,P.,Houspie,L.,C Viveen,M.,Jansen,N.J.,van Loon,A.M.,Wiertz,E.,van Bleek,G.M.,Martin,D.P.,Coenjaerts,F.E.,Viveen,M.,Coenjaerts,F.	JX015488	
hRSV/A/Germany/06-01417/2006	2006-02-10	Germany	Europe		A.2.1	Kondgen,S.,Reiche,J.	OR795319	
hRSV/A/Germany/07-02759/2007	2007-03-05	Germany	Europe		A.2.1	Kondgen,S.,Reiche,J.	OR795324	
KF530260	2005-06-21	Argentina	South America		A.2.1	Lorenzi,H.,Town,C.,Halpin,R.,Bera,J.,Ransier,A.,Fedorova,N.,Stockwell,T.,Amedeo,P.,Appalla,L.,Bishop,B.,Edworthy,P.,Gupta,N.,Hoover,J.,Katzel,D.,Schobel,S.,Shrivastava,S.,Thovarai,V.,Wang,S.,Rebuffo-Scheer,C.,Fan,J.,He,J.,Kehl,S.C.,Lederboer,N.,Jurgens,L.A.,Bose,M.E.,Beck,E.T.,Kumar,S.,Videla,C.,Wentworth,D.E.,Henrickson,K.J.	KF530260	
A2000-3-4	2000-03-04	USA	North America	Tennessee	A.2.1	Lorenzi,H.,Halpin,R.,Nguyen,A.,Fedorova,N.,Overton,L.,Stockwell,T.,Amedeo,P.,Bishop,B.,Chen,H.,Edworthy,P.,Gupta,N.,Katzel,D.,Li,K.,Schobel,S.,Shrivastava,S.,Thovarai,V.,Wang,S.,Shapiro,C.A.,Williams,J.,Peebles,S.,Chi,M.,Wentworth,D.E.,Moore,M.L.	JX069803	
RSV-A/US/BID-V8414/2001	2001-12-04	USA	North America		A.2.1	Newman,R.M.,Zody,M.C.,DeVincenzo,J.P.,Grad,Y.,Lipsitch,M.,Murphy,R.,Fitzgerald,M.,Young,S.,Gargeya,S.,Poon,T.W.,Charlebois,P.,Weiner,B.,Yang,X.,Piper,M.E.,McCowan,C.,Ireland,A.,Levin,J.,Malboeuf,C.,Qu,J.,Chapman,S.B.,Murphy,C.,Wortman,J.,Nusbaum,C.,Birren,B.	KJ627674	
RSV-A/US/BID-V8377/2003	2003-11-01	USA	North America		A.2.1	Newman,R.M.,Zody,M.C.,DeVincenzo,J.P.,Grad,Y.,Lipsitch,M.,Murphy,R.,Fitzgerald,M.,Young,S.,Gargeya,S.,Poon,T.W.,Charlebois,P.,Weiner,B.,Yang,X.,Piper,M.E.,McCowan,C.,Ireland,A.,Levin,J.,Malboeuf,C.,Qu,J.,Chapman,S.B.,Murphy,C.,Wortman,J.,Nusbaum,C.,Birren,B.	KJ627665	
Kilifi_11865_75_RSVA_2004	2004-03-24	Kenya	Africa		A.2.1.1	Agoti,C.N.,Otieno,J.R.,Munywoki,P.K.,Mwihuri,A.G.,Cane,P.A.,Nokes,D.J.,Kellam,P.,Cotten,M.,Cotten,M.L.	KP317956	
OK649677	2004-12-31	USA	North America		A.2.1.1	Wang,L.,Ng,T.F.F.,Castro,C.J.,Marine,R.L.,Magana,L.C.,Esona,M.,Peret,T.C.T.,Thornburg,N.J.	OK649677	
hRSV/A/Germany/04-01889/2004	2004-02-15	Germany	Europe		A.2.1.1	Kondgen,S.,Reiche,J.	OR795311	
Kilifi_11866_65_RSVA_2003	2003-02-13	Kenya	Africa		A.2.1.1	Agoti,C.N.,Otieno,J.R.,Munywoki,P.K.,Mwihuri,A.G.,Cane,P.A.,Nokes,D.J.,Kellam,P.,Cotten,M.,Cotten,M.L.	KP317949	
KF826827	2004-05-26	Argentina	South America		A.2.1.1	Lorenzi,H.,Town,C.,Halpin,R.,Bera,J.,Ransier,A.,Fedorova,N.,Stockwell,T.,Amedeo,P.,Appalla,L.,Bishop,B.,Edworthy,P.,Gupta,N.,Hoover,J.,Katzel,D.,Li,K.,Schobel,S.,Shrivastava,S.,Thovarai,V.,Wang,S.,Rebuffo-Scheer,C.,Fan,J.,He,J.,Kehl,S.C.,Lederboer,N.,Jurgens,L.A.,Bose,M.E.,Beck,E.T.,Kumar,S.,Videla,C.,Wentworth,D.E.,Henrickson,K.J.	KF826827	
RSV-A/US/BID-V7349/2002	2002-09-08	USA	North America		A.2.1.1	Grad,Y.H.,Newman,R.,Zody,M.,Yang,X.,Murphy,R.,Qu,J.,Malboeuf,C.M.,Levin,J.Z.,Lipsitch,M.,DeVincenzo,J.,Newman,R.M.,Zody,M.C.,DeVincenzo,J.P.,Grad,Y.,Fitzgerald,M.,Young,S.,Gargeya,S.,Poon,T.W.,Charlebois,P.,Weiner,B.,Piper,M.E.,McCowan,C.,Ireland,A.,Levin,J.,Malboeuf,C.,Chapman,S.B.,Murphy,C.,Wortman,J.,Nusbaum,C.,Birren,B.	KF973332	
HRSV/A/GBR/NU0409/2009	2009-01-01	United Kingdom	Europe		A.2.1.1	Aeschbacher,T.,Cai,A.,Manhas,S.,Zamora,J.L.R.	PQ591396	
KX894798	2013-03-04	USA	North America		A.2.1.1	Shabman,R.,Das,S.R.,Shilts,M.,Fedorova,N.,Puri,V.,Shrivastava,S.,Amedeo,P.,Hu,L.,Durbin,A.,Rocchi,I.,Williams,T.,Hartert,T.	KX894798	
KF826826	2004-12-24	Mexico	North America		A.2.1.1	Lorenzi,H.,Town,C.,Halpin,R.,Bera,J.,Ransier,A.,Fedorova,N.,Stockwell,T.,Amedeo,P.,Appalla,L.,Bishop,B.,Edworthy,P.,Gupta,N.,Hoover,J.,Katzel,D.,Li,K.,Schobel,S.,Shrivastava,S.,Thovarai,V.,Wang,S.,Rebuffo-Scheer,C.,Fan,J.,He,J.,Kehl,S.C.,Lederboer,N.,Jurgens,L.A.,Bose,M.E.,Beck,E.T.,Kumar,S.,Noyola,D.E.,Wentworth,D.E.,Henrickson,K.J.	KF826826	
KF826841	2007-05-02	Argentina	South America		A.2.1.1	Lorenzi,H.,Town,C.,Halpin,R.,Bera,J.,Ransier,A.,Fedorova,N.,Stockwell,T.,Amedeo,P.,Appalla,L.,Bishop,B.,Edworthy,P.,Gupta,N.,Hoover,J.,Katzel,D.,Li,K.,Schobel,S.,Shrivastava,S.,Thovarai,V.,Wang,S.,Rebuffo-Scheer,C.,Fan,J.,He,J.,Kehl,S.C.,Lederboer,N.,Jurgens,L.A.,Bose,M.E.,Beck,E.T.,Kumar,S.,Videla,C.,Wentworth,D.E.,Henrickson,K.J.	KF826841	
KF826850	2008-01-01	USA	North America		A.2.1.1	Lorenzi,H.,Town,C.,Halpin,R.,Bera,J.,Ransier,A.,Fedorova,N.,Stockwell,T.,Amedeo,P.,Appalla,L.,Bishop,B.,Edworthy,P.,Gupta,N.,Hoover,J.,Katzel,D.,Li,K.,Schobel,S.,Shrivastava,S.,Thovarai,V.,Wang,S.,Rebuffo-Scheer,C.,Fan,J.,He,J.,Kehl,S.C.,Lederboer,N.,Jurgens,L.A.,Bose,M.E.,Beck,E.T.,Kumar,S.,Wentworth,D.E.,Henrickson,K.J.	KF826850	
KF826846	2008-05-15	Argentina	South America		A.2.1.1	Lorenzi,H.,Town,C.,Halpin,R.,Bera,J.,Ransier,A.,Fedorova,N.,Stockwell,T.,Amedeo,P.,Appalla,L.,Bishop,B.,Edworthy,P.,Gupta,N.,Hoover,J.,Katzel,D.,Li,K.,Schobel,S.,Shrivastava,S.,Thovarai,V.,Wang,S.,Rebuffo-Scheer,C.,Fan,J.,He,J.,Kehl,S.C.,Lederboer,N.,Jurgens,L.A.,Bose,M.E.,Beck,E.T.,Kumar,S.,Videla,C.,Wentworth,D.E.,Henrickson,K.J.	KF826846	
KF826816	2005-12-19	Mexico	North America		A.2.1.1	Lorenzi,H.,Town,C.,Halpin,R.,Bera,J.,Ransier,A.,Fedorova,N.,Stockwell,T.,Amedeo,P.,Appalla,L.,Bishop,B.,Edworthy,P.,Gupta,N.,Hoover,J.,Katzel,D.,Li,K.,Schobel,S.,Shrivastava,S.,Thovarai,V.,Wang,S.,Rebuffo-Scheer,C.,Fan,J.,He,J.,Kehl,S.C.,Lederboer,N.,Jurgens,L.A.,Bose,M.E.,Beck,E.T.,Kumar,S.,Noyola,D.E.,Wentworth,D.E.,Henrickson,K.J.	KF826816	
KF826837	2006-01-20	Mexico	North America		A.2.1.1	Lorenzi,H.,Town,C.,Halpin,R.,Bera,J.,Ransier,A.,Fedorova,N.,Stockwell,T.,Amedeo,P.,Appalla,L.,Bishop,B.,Edworthy,P.,Gupta,N.,Hoover,J.,Katzel,D.,Li,K.,Schobel,S.,Shrivastava,S.,Thovarai,V.,Wang,S.,Rebuffo-Scheer,C.,Fan,J.,He,J.,Kehl,S.C.,Lederboer,N.,Jurgens,L.A.,Bose,M.E.,Beck,E.T.,Kumar,S.,Noyola,D.E.,Wentworth,D.E.,Henrickson,K.J.	KF826837	
KP258723	1986-06-30	USA	North America		A.3	Das,S.R.,Halpin,R.A.,Puri,V.,Akopov,A.,Fedorova,N.,Stockwell,T.,Amedeo,P.,Bishop,B.,Katzel,D.,Schobel,S.,Shrivastava,S.,Wentworth,D.E.,Caserta,M.	KP258723	
KU316138	1987-08-30	USA	North America	Ny	A.3	Das,S.R.,Halpin,R.A.,Puri,V.,Akopov,A.,Fedorova,N.,Stockwell,T.,Amedeo,P.,Bishop,B.,Katzel,D.,Schobel,S.,Shrivastava,S.,Hall,C.B.,Tesini,B.L.,Schnabel,K.C.,Walsh,E.E.,Caserta,M.	KU316138	
KJ723464	1989-12-27	USA	North America		A.3	Das,S.R.,Halpin,R.A.,Puri,V.,Akopov,A.,Fedorova,N.,Tsitrin,T.,Stockwell,T.,Amedeo,P.,Bishop,B.,Gupta,N.,Hoover,J.,Katzel,D.,Schobel,S.,Shrivastava,S.,Wentworth,D.E.,Caserta,M.	KJ723464	
KU316110	1984-12-10	USA	North America	Ny	A.3	Das,S.R.,Halpin,R.A.,Puri,V.,Akopov,A.,Fedorova,N.,Stockwell,T.,Amedeo,P.,Bishop,B.,Katzel,D.,Schobel,S.,Shrivastava,S.,Hall,C.B.,Tesini,B.L.,Schnabel,K.C.,Walsh,E.E.,Caserta,M.	KU316110	
MG642034	1985-12-31	USA	North America	Ny	A.3	Shabman,R.,Fedorova,N.,Puri,V.,Shrivastava,S.,Amedeo,P.,Isom,R.,Hu,L.,Pickett,B.,Novotny,M.,Durbin,A.,Rocchi,I.,Williams,T.,Hall,C.B.,Tesini,B.L.,Schnabel,K.C.,Walsh,E.E.,Caserta,M.	MG642034	
KP258743	1998-03-24	USA	North America		A.3	Das,S.R.,Halpin,R.A.,Puri,V.,Akopov,A.,Fedorova,N.,Stockwell,T.,Amedeo,P.,Bishop,B.,Katzel,D.,Schobel,S.,Shrivastava,S.,Wentworth,D.E.,Caserta,M.	KP258743	
KU316092	1991-12-31	USA	North America	Ny	A.3	Das,S.R.,Halpin,R.A.,Puri,V.,Akopov,A.,Fedorova,N.,Stockwell,T.,Amedeo,P.,Bishop,B.,Katzel,D.,Schobel,S.,Shrivastava,S.,Hall,C.B.,Tesini,B.L.,Schnabel,K.C.,Walsh,E.E.,Caserta,M.	KU316092	
OK649659	1995-10-07	Canada	North America		A.3	Wang,L.,Ng,T.F.F.,Castro,C.J.,Marine,R.L.,Magana,L.C.,Esona,M.,Peret,T.C.T.,Thornburg,N.J.	OK649659	
MG642080	1994-01-01	USA	North America	Ny	A.3	Shabman,R.,Fedorova,N.,Puri,V.,Shrivastava,S.,Amedeo,P.,Isom,R.,Hu,L.,Pickett,B.,Novotny,M.,Durbin,A.,Rocchi,I.,Williams,T.,Hall,C.B.,Tesini,B.L.,Schnabel,K.C.,Walsh,E.E.,Caserta,M.	MG642080	
FJ948820	1999-12-31	Netherlands	Europe		A.3	Widjojoatmodjo,M.N.,Boes,J.,van Bers,M.,van Remmerden,Y.,Roholl,P.J.,Luytjes,W.,Roholl,P.J.M.	FJ948820	
KJ627361	2007-01-26	Peru	South America		A.3	Wentworth,D.E.,Halpin,R.A.,Bera,J.,Lin,X.,Fedorova,N.,Tsitrin,T.,McLellan,M.,Stockwell,T.,Amedeo,P.,Bishop,B.,Gupta,N.,Hoover,J.,Katzel,D.,Schobel,S.,Shrivastava,S.,Garcia,J.,Laguna-Torres,V.A.,Leguia,M.,Benavides,J.G.,Halsey,E.	KJ627361	
01-031282	2001-12-22	Netherlands	Europe		A.3	Tan,L.,Lemey,P.,Houspie,L.,C Viveen,M.,Jansen,N.J.,van Loon,A.M.,Wiertz,E.,van Bleek,G.M.,Martin,D.P.,Coenjaerts,F.E.,Viveen,M.,Coenjaerts,F.	JQ901452	
hRSV/A/Germany/01-02630/2001	2001-03-27	Germany	Europe		A.3	Kondgen,S.,Reiche,J.	OR795299	
OK649679	2005-02-23	USA	North America		A.3	Wang,L.,Ng,T.F.F.,Castro,C.J.,Marine,R.L.,Magana,L.C.,Esona,M.,Peret,T.C.T.,Thornburg,N.J.	OK649679	
KJ627260	2008-03-17	Peru	South America		A.3	Wentworth,D.E.,Halpin,R.A.,Bera,J.,Lin,X.,Fedorova,N.,Tsitrin,T.,McLellan,M.,Stockwell,T.,Amedeo,P.,Bishop,B.,Gupta,N.,Hoover,J.,Katzel,D.,Schobel,S.,Shrivastava,S.,Garcia,J.,Laguna-Torres,V.A.,Leguia,M.,Benavides,J.G.,Halsey,E.	KJ627260	
hRSV/A/Germany/05-00962/2005	2005-01-11	Germany	Europe		A.3	Kondgen,S.,Reiche,J.	OR795315	
03-036544	2003-12-23	Netherlands	Europe		A.3	Tan,L.,Lemey,P.,Houspie,L.,C Viveen,M.,Jansen,N.J.,van Loon,A.M.,Wiertz,E.,van Bleek,G.M.,Martin,D.P.,Coenjaerts,F.E.,Viveen,M.,Coenjaerts,F.	JQ901458	
Kilifi_10891_51_RSVA_2008	2008-03-07	Kenya	Africa		A.3	Agoti,C.N.,Otieno,J.R.,Munywoki,P.K.,Mwihuri,A.G.,Cane,P.A.,Nokes,D.J.,Kellam,P.,Cotten,M.,Cotten,M.L.	KP317933	
Kilifi_10899_38_RSVA_2009	2009-02-22	Kenya	Africa		A.3	Agoti,C.N.,Otieno,J.R.,Munywoki,P.K.,Mwihuri,A.G.,Cane,P.A.,Nokes,D.J.,Kellam,P.,Cotten,M.,Cotten,M.L.	KP317950	
hRSV/A/Germany/03-00597/2002	2002-12-16	Germany	Europe		A.3	Kondgen,S.,Reiche,J.	OR795307	
Kilifi_10891_57_RSVA_2006	2006-02-23	Kenya	Africa		A.3	Agoti,C.N.,Otieno,J.R.,Munywoki,P.K.,Mwihuri,A.G.,Cane,P.A.,Nokes,D.J.,Kellam,P.,Cotten,M.,Cotten,M.L.	KP317942	
09-000457	2009-01-07	Netherlands	Europe		A.3.1	Tan,L.,Lemey,P.,Houspie,L.,C Viveen,M.,Jansen,N.J.,van Loon,A.M.,Wiertz,E.,van Bleek,G.M.,Martin,D.P.,Coenjaerts,F.E.,Viveen,M.,Coenjaerts,F.E.J.	JX015481	
KF826838	2006-06-06	Argentina	South America		A.3.1	Lorenzi,H.,Town,C.,Halpin,R.,Bera,J.,Ransier,A.,Fedorova,N.,Stockwell,T.,Amedeo,P.,Appalla,L.,Bishop,B.,Edworthy,P.,Gupta,N.,Hoover,J.,Katzel,D.,Li,K.,Schobel,S.,Shrivastava,S.,Thovarai,V.,Wang,S.,Rebuffo-Scheer,C.,Fan,J.,He,J.,Kehl,S.C.,Lederboer,N.,Jurgens,L.A.,Bose,M.E.,Beck,E.T.,Kumar,S.,Videla,C.,Wentworth,D.E.,Henrickson,K.J.	KF826838	
KF530258	2007-09-23	South Africa	Africa		A.3.1	Lorenzi,H.,Town,C.,Halpin,R.,Bera,J.,Ransier,A.,Fedorova,N.,Stockwell,T.,Amedeo,P.,Appalla,L.,Bishop,B.,Edworthy,P.,Gupta,N.,Hoover,J.,Katzel,D.,Schobel,S.,Shrivastava,S.,Thovarai,V.,Wang,S.,Rebuffo-Scheer,C.,Fan,J.,He,J.,Kehl,S.C.,Lederboer,N.,Jurgens,L.A.,Bose,M.E.,Beck,E.T.,Kumar,S.,Venter,M.,Wentworth,D.E.,Henrickson,K.J.	KF530258	
OK649619	2008-12-31	Brazil	South America		A.3.1	Wang,L.,Ng,T.F.F.,Castro,C.J.,Marine,R.L.,Magana,L.C.,Esona,M.,Peret,T.C.T.,Thornburg,N.J.	OK649619	
BE08-5146	2008-10-22	Belgium	Europe		A.3.1	Tan,L.,Lemey,P.,Houspie,L.,C Viveen,M.,Jansen,N.J.,van Loon,A.M.,Wiertz,E.,van Bleek,G.M.,Martin,D.P.,Coenjaerts,F.E.,Viveen,M.,Coenjaerts,F.E.J.	JX015499	
